SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
90101100101,36,0,1042,0,0,0,0,0
90101100102,69,0,1375,0,2750,0.6,1375,1.3
90101100103,38,1500,1524,150,3133,1,2486,2.7
90101100104,40,1679,1253,140,2660,1,1980,2.5
90101100105,38,1010,1100,200,2229,1,1886,2.4
90102100201,38,1972,644,250,1392,1.3,2305,4.5
90102100202,46,4584,1388,68,2899,0.9,2791,2.5
90102100203,59,0,612,0,0,0,0,0
90103100301,31,0,1270,304,3083,0.8,2437,2.9
90103100302,45,0,425,35,1021,0.8,919,3.2
90103100303,52,1849,1125,35,2999,0.7,2499,2.4
90103100304,0,0,0,0,0,0,0,0
90104100401,49,1408,802,250,1823,0.8,1294,2.1
90104100402,48,1170,753,243,1800,0.8,1351,2.2
90104100403,52,1300,762,250,1625,0.7,1076,1.9
90104100404,50,1200,692,230,1413,0.7,1143,2
90104100405,76,0,449,150,725,0.4,724,1.4
90104100406,0,0,0,0,0,0,0,0
90104100407,50,1200,675,255,1625,0.8,1179,2.3
90104100408,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0
99999949999,0,0,0,0,0,0,0,0
