SA1_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
90101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,3,0,6,6,0,12,9,0,9,19,3,22,7,0,7,6,0,8,10,0,8,16,0,16,13,0,16,51,4,57,12,0,12,15,0,15,10,0,10,14,0,17,12,0,12,62,0,63,4,0,10,4,6,12,13,0,13,4,0,4,9,0,9,38,5,36,3,0,3,3,0,3,4,0,5,5,0,9,5,0,5,24,4,26,3,3,5,0,0,0,3,0,3,0,0,0,4,0,4,20,4,22,7,4,6,0,4,5,0,0,5,3,0,0,12,0,6,20,13,32,0,0
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100103,0,4,5,0,0,0,0,3,4,3,6,6,0,5,9,13,8,24,0,3,8,3,0,3,9,3,7,3,3,7,4,3,11,17,11,33,4,0,7,3,4,11,0,4,6,5,3,8,3,7,12,22,18,39,0,0,5,0,3,3,0,0,3,0,0,0,6,0,6,9,9,9,0,0,0,0,0,0,0,4,4,0,0,0,3,0,5,0,7,10,0,0,3,5,0,5,5,0,3,0,0,6,0,3,3,3,5,9,3,3,11,4,0,4,0,3,4,0,3,9,0,0,0,7,10,24,0,8,8,4,4,4,7,9,11,3,5,6,6,9,6,9,29,39,5,5,6,5,4,9,0,8,7,0,5,7,0,3,3,15,15,31,0,4,4,0,4,4,0,0,5,7,3,5,6,0,5,14,13,25,0,5,5,5,0,3,7,5,12,0,0,4,0,0,7,12,13,33,0,0
90101100104,5,0,6,5,3,7,4,0,5,3,3,8,4,3,8,24,16,40,0,3,4,0,3,6,0,3,3,3,0,6,6,0,8,12,14,29,6,0,8,0,5,5,0,5,6,0,4,4,0,3,4,14,17,29,6,0,10,0,6,4,0,3,4,0,0,0,0,3,3,7,10,24,0,0,5,5,0,5,5,0,3,4,8,10,5,0,7,15,13,30,0,0,0,12,0,9,5,0,6,0,8,5,4,10,16,19,15,35,0,0,3,5,4,8,0,9,9,17,6,24,10,3,12,37,20,60,5,4,8,9,0,11,0,0,4,4,3,11,5,3,9,25,16,45,0,4,4,6,6,10,5,5,10,0,9,14,3,3,0,14,26,36,8,0,9,3,0,5,3,3,8,8,9,18,4,3,6,27,20,46,3,7,14,3,0,7,4,3,10,8,4,12,7,3,10,31,21,57,9,6
90101100105,3,3,8,3,0,5,0,3,3,3,3,10,0,0,4,7,9,18,0,8,8,4,5,9,0,0,3,5,0,5,7,4,10,15,18,35,3,0,5,0,3,3,3,0,3,7,6,10,4,0,6,15,12,27,0,0,5,0,0,11,0,5,3,0,0,0,0,5,7,9,12,20,4,0,4,0,0,0,0,0,5,0,0,0,0,0,0,4,3,9,3,3,4,4,3,5,5,6,10,5,3,8,7,3,6,15,17,38,4,5,7,5,0,3,0,4,3,7,3,7,11,5,13,22,18,38,3,5,4,0,0,0,5,0,7,6,3,14,0,8,6,15,21,36,4,3,4,3,0,9,3,0,3,0,0,0,5,4,10,8,7,15,3,4,4,0,0,7,0,4,4,0,0,3,3,0,3,16,4,21,6,6,12,0,0,5,3,0,5,3,3,4,0,0,8,13,17,31,4,4
90102100201,4,0,6,3,0,8,0,9,9,7,5,10,0,0,0,18,14,32,3,7,10,6,5,8,5,3,7,4,0,4,3,3,3,23,15,40,0,0,3,0,5,5,3,0,3,3,5,5,5,3,7,20,14,29,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,4,3,11,0,8,6,5,0,3,0,0,0,0,5,3,4,10,16,20,16,31,6,6,9,5,0,6,3,4,10,0,4,6,7,0,7,19,11,34,0,0,0,0,5,5,0,3,3,0,4,4,0,4,5,0,9,15,5,4,11,5,4,10,3,5,4,8,0,9,3,3,7,21,15,33,8,0,8,0,0,0,0,3,7,4,5,8,0,0,0,10,11,22,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,8,8,9,0,4,4,8,0,6,0,3,3,0,0,0,3,0,5,7,7,17,0,8
90102100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,3,0,5,5,0,0,0,6,0,6,0,0,0,7,4,9,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,0,0,3,0,3,0,3,3,0,0,0,4,8,10,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,8,11,3,0,0,3,0,3,0,4,3,0,0,0,0,0,0,9,10,18,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,3,10,0,0,4,3,0,3,10,8,13,0,0,0,4,0,0,0,0,5,0,0,4,0,9,9,5,8,14,0,5
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90103100301,0,3,4,0,0,0,0,3,3,0,0,0,0,0,3,0,8,12,0,5,5,0,0,0,0,7,4,0,0,0,0,0,0,0,10,8,0,3,0,0,3,4,0,0,0,0,0,3,0,0,0,7,5,17,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,3,6,14,0,0,0,0,0,0,5,0,5,0,6,6,0,3,4,4,7,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,0,0,5,0,5,0,0,0,3,0,3,0,3,3,6,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,5,8,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,5,3,6,5,3
90103100302,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,5,3,6,0,0,3,0,0,0,0,0,5,0,0,4,0,0,0,4,11,9,0,0,5,3,0,5,0,0,0,0,0,0,0,0,3,7,7,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,13,0,0,0,3,0,4,3,0,3,0,3,3,0,0,0,5,7,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,7,0,7,0,0,0,0,4,4,0,3,6,0,0,0,0,0,0,3,7,6,0,0,3,5,0,3,0,4,4,0,0,4,0,5,10,4,9,14,5,0,5,0,0,0,0,6,6,0,0,0,0,0,4,3,6,12,6,0
