SA1_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
90101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
90101100103,0,0,9,9,0,0,4,0,3,5,8,16,17,0,3,20,15,6,3,22,8,5,6,15,16,0,8,16,0,0,0,0,0,0,0,0,54,21,32,107,0,0,7,7,0,0,4,7,5,8,4,12,29,7,4,42,14,3,5,26,13,0,3,19,3,0,6,4,0,0,0,3,0,0,0,0,67,19,35,120,0,0,10,10,0,4,5,10,8,12,12,31,41,7,6,59,33,12,7,56,23,10,7,33,13,0,10,29,0,0,3,5,0,0,0,0,119,39,68,228
90101100104,0,0,7,7,0,0,7,7,20,0,4,23,15,0,8,25,20,3,3,28,12,6,11,30,12,0,15,30,3,0,5,9,0,0,0,0,86,10,55,158,0,0,6,8,0,0,0,3,17,0,4,17,21,0,4,24,22,0,3,33,6,0,4,19,14,0,3,17,4,0,0,3,0,0,0,0,89,7,35,132,0,0,19,20,0,0,8,15,33,4,5,45,40,0,10,47,47,3,13,61,29,5,15,42,26,0,23,49,3,0,4,9,0,0,0,0,179,19,88,283
90101100105,0,0,8,8,0,0,4,4,8,8,16,32,11,0,7,18,9,3,14,20,15,5,12,32,18,0,9,29,0,0,3,3,3,0,0,4,66,15,62,147,0,0,13,13,0,3,3,8,9,9,11,25,14,0,6,21,11,4,4,20,15,0,5,22,8,0,9,9,3,0,0,3,0,0,0,0,59,13,43,121,0,0,16,16,0,3,6,9,20,13,26,57,22,4,18,40,19,4,16,37,37,5,13,55,22,0,11,43,3,0,3,5,3,0,0,4,123,28,113,262
90102100201,0,0,4,4,3,0,11,13,10,0,0,20,28,0,0,27,10,0,0,10,32,0,0,32,18,0,0,16,12,0,0,13,0,0,6,6,108,0,24,134,0,0,4,4,3,0,3,16,18,0,0,21,19,0,5,25,11,0,0,12,32,0,5,37,19,0,0,22,4,0,3,11,0,0,0,0,106,0,33,138,0,0,9,9,8,0,20,27,30,0,4,36,43,0,6,50,18,0,0,20,57,0,5,63,37,0,0,38,20,0,8,26,0,0,10,10,216,0,55,273
90102100202,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,3,3,13,10,3,0,15,4,0,0,4,0,0,4,4,0,0,0,0,22,11,12,37,0,0,0,0,0,0,0,0,0,4,0,4,3,3,0,10,7,5,0,9,4,5,0,12,5,0,0,5,0,0,0,0,0,0,0,0,21,14,3,38,0,0,3,3,0,0,0,0,3,8,0,6,5,6,0,13,14,9,3,22,13,6,5,27,5,0,0,5,0,0,4,4,0,0,0,0,45,23,15,80
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90103100301,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,9,0,0,6,7,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,5,15,35,0,0,0,0,0,0,7,7,3,3,0,4,6,0,4,8,3,0,5,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,3,13,34,0,0,3,3,0,0,4,4,0,6,3,9,11,0,4,14,0,0,6,15,11,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,34,8,25,62
90103100302,0,0,7,7,0,0,3,3,0,0,5,7,0,0,8,12,0,0,8,12,3,0,0,12,5,0,8,13,0,0,4,8,0,0,0,0,15,4,51,64,0,0,7,7,0,0,4,4,0,0,8,11,0,3,4,7,4,0,13,22,0,0,6,6,3,0,8,10,0,0,7,7,0,0,0,0,15,7,50,68,0,0,12,12,0,0,13,13,0,7,15,21,0,3,10,16,11,0,22,32,6,0,8,15,7,0,12,21,0,0,7,12,0,0,0,0,26,6,99,131
