SA1_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
90101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,19,3,22,0,0,0,19,3,22,0,0,0,51,4,57,0,0,0,51,4,57,0,0,0,62,0,63,0,0,0,62,0,63,0,0,0,38,5,36,0,0,0,38,5,36,0,0,0,24,4,26,0,0,0,24,4,26,0,0,0,20,4,20,0,0,0,20,4,22,0,0,0,20,13,32,0,0,0,20,13,32,0,0,0,6,5,14,0,0,0,6,5,14,0,0,0,5,9,18,0,0,0,5,9,18,0,0,0,24,4,31,0,0,0,24,4,31,0,0,0,277,59,334,0,0,0,277,61,334
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3
90101100103,0,0,0,10,8,15,0,0,4,13,8,24,0,0,0,16,14,32,0,0,0,17,11,33,0,0,0,16,17,35,3,0,8,22,18,39,0,0,0,9,7,10,0,0,0,9,9,9,0,0,0,0,7,10,0,0,0,0,7,10,0,0,0,3,5,9,0,0,0,3,5,9,0,0,0,8,10,18,0,3,3,7,10,24,0,0,0,9,26,34,0,0,0,9,29,39,0,0,0,11,15,28,0,0,0,15,15,31,0,0,0,12,15,28,0,0,0,14,13,25,0,0,0,13,15,32,0,0,3,12,13,33,0,0,0,15,6,20,0,0,0,15,4,24,0,0,0,7,14,19,0,0,0,7,15,19,0,0,0,25,9,36,0,0,0,24,9,36,0,4,7,162,156,323,13,15,28,174,176,350
90101100104,0,0,0,20,12,32,0,3,3,24,16,40,0,0,0,12,14,28,0,0,0,12,14,29,0,0,0,13,16,25,0,3,0,14,17,29,0,0,0,7,11,19,0,0,0,7,10,24,0,0,0,12,8,21,9,3,9,15,13,30,0,0,0,10,11,23,9,3,12,19,15,35,0,0,0,17,13,33,17,5,20,37,20,60,0,0,0,18,13,28,11,5,18,25,16,45,0,0,0,8,20,31,5,7,9,14,26,36,0,0,0,15,17,33,9,0,11,27,20,46,0,0,0,18,17,36,13,5,19,31,21,57,0,0,0,17,14,31,0,9,5,23,24,45,0,0,0,15,9,20,0,0,0,15,9,26,0,0,0,44,20,69,9,3,16,55,28,85,0,0,0,241,193,436,83,50,133,322,251,568
90101100105,0,0,0,8,10,19,0,0,0,7,9,18,0,0,0,15,19,27,7,0,10,15,18,35,0,0,0,16,8,19,4,3,4,15,12,27,0,0,0,8,13,16,4,0,0,9,12,20,0,0,0,4,3,9,0,0,0,4,3,9,0,0,0,15,11,28,0,5,6,15,17,38,0,0,0,17,15,32,3,5,7,22,18,38,0,0,0,14,16,21,4,9,10,15,21,36,0,0,0,9,7,16,0,0,0,8,7,15,0,0,0,16,4,21,0,0,0,16,4,21,0,0,0,14,13,24,7,6,8,13,17,31,0,0,0,14,10,30,5,4,6,19,13,35,3,3,5,18,16,29,3,0,0,16,18,40,0,0,0,36,20,52,5,0,3,46,20,63,4,3,4,189,161,351,38,32,72,229,199,433
90102100201,0,0,0,17,13,29,5,3,3,18,14,32,0,0,0,20,17,33,0,4,0,23,15,40,0,0,0,15,11,27,0,5,4,20,14,29,0,0,0,4,5,6,0,0,0,4,3,11,0,0,0,16,16,29,3,6,3,20,16,31,0,0,0,16,10,24,3,3,9,19,11,34,0,0,0,0,12,9,0,0,0,0,9,15,0,0,0,18,17,28,0,0,4,21,15,33,0,0,0,10,8,23,0,3,3,10,11,22,0,0,0,10,8,8,0,0,0,8,8,9,0,0,0,7,6,11,3,0,0,7,7,17,0,0,0,15,17,35,0,0,5,18,20,39,0,0,0,13,15,30,5,0,3,21,19,32,0,0,0,39,34,73,3,3,11,42,43,89,0,0,0,199,177,375,28,34,57,225,211,432
90102100202,0,0,0,5,0,10,0,0,0,5,0,10,0,0,0,7,4,9,0,0,0,7,4,9,0,0,0,6,4,9,0,0,3,4,3,10,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,4,3,4,0,3,7,4,8,10,0,0,0,4,4,6,0,0,3,4,8,11,0,0,0,6,9,12,3,0,3,9,10,18,0,0,0,0,4,3,0,0,0,0,5,3,0,0,0,9,5,11,3,0,5,10,8,13,0,0,0,5,7,11,0,3,3,5,8,14,0,0,0,5,6,14,0,3,0,7,6,15,0,0,0,12,10,14,0,0,6,12,5,21,0,0,0,6,5,4,5,0,6,11,3,13,0,0,0,60,59,120,12,15,26,74,69,147
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,6,4,8,0,0,0,8,5,14,0,0,0,8,5,14
90103100301,0,0,0,0,4,8,0,0,0,0,8,12,0,7,7,0,3,3,0,0,0,0,10,8,4,5,8,0,6,6,3,0,3,7,5,17,0,0,5,0,5,6,0,0,0,3,6,14,0,7,4,3,5,3,0,0,0,4,7,13,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,3,7,6,0,0,0,3,3,8,0,0,0,6,7,16,0,0,0,0,0,3,0,0,0,3,3,10,0,0,0,0,0,6,0,0,0,0,5,8,0,0,0,3,3,8,3,0,3,5,3,6,0,0,0,4,3,3,0,3,4,5,3,9,0,0,0,3,4,8,0,0,0,3,4,8,3,0,5,0,0,0,0,0,6,5,6,11,13,23,34,37,37,73,13,12,20,64,67,128
90103100302,3,4,7,0,0,0,0,0,0,3,4,7,5,3,6,0,0,0,0,0,0,5,3,6,0,6,8,0,0,0,0,0,0,4,11,9,7,7,6,0,0,0,0,0,0,7,7,12,3,4,13,0,0,0,0,0,0,3,4,13,6,7,15,0,0,0,0,0,0,5,7,17,0,0,4,0,0,0,0,0,0,0,5,3,7,0,7,0,0,0,0,0,0,7,0,7,3,3,8,0,0,0,0,0,0,3,7,6,4,8,16,0,0,0,0,0,0,4,9,14,3,8,16,0,0,0,0,0,0,3,6,12,5,0,5,0,0,0,0,0,0,7,0,7,4,3,8,0,0,0,0,0,0,4,3,12,13,16,35,0,0,0,0,0,0,13,20,34,75,79,152,4,4,9,3,6,5,75,88,167
