SA1_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
90101100101,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,28,23,52,0,50,..,0,0,0,209,209,17,28,23,52,209,277,13,..,..,..,..,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,4,5,0,5,..,8,16,27,0,25,..,0,5,3,0,3,..,15,20,36,0,35,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
90101100102,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,4,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
90101100103,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,25,3,30,5,33,..,31,3,37,5,36,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,63,21,85,0,87,..,0,0,0,9,9,80,63,21,85,12,174,68,..,..,..,..,68,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,19,11,27,4,31,..,0,7,6,0,6,..,28,10,45,4,47,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
90101100104,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,52,7,56,0,59,..,52,6,61,0,63,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,110,40,145,0,146,..,0,0,0,81,80,99,110,38,147,80,322,63,..,..,..,..,63,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,15,0,15,..,29,9,42,0,42,..,0,5,7,0,7,..,42,13,59,0,59,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
90101100105,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,56,16,72,0,72,..,63,19,84,0,84,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,71,29,104,0,104,..,0,0,0,34,36,89,71,32,106,34,229,71,..,..,..,..,71,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,7,0,7,..,0,0,0,0,0,..,5,5,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
90102100201,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,122,51,176,0,174,..,122,51,176,0,174,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,128,51,178,0,178,..,0,4,3,30,34,6,126,59,183,34,225,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
90102100202,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,7,0,7,..,5,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,8,0,8,..,0,0,0,12,12,52,4,0,8,12,74,47,..,..,..,..,47,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
90102100203,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,5,0,5,..,3,3,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,5,0,5,..,0,0,0,0,0,0,3,3,5,0,8,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
90103100301,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,13,15,45,0,0,0,13,64,56,..,..,..,..,56,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
90103100302,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,5,0,5,..,0,0,5,0,6,..,0,0,0,30,30,41,0,0,5,34,75,49,..,..,..,..,49,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
