SA1_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
90101100101,0,3,5,7,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,14,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,12,3,0,15,0,0,0,0,0,0,0,0,0,5,0,20,103,56,24,4,0,0,0,210,0,19,109,61,42,14,18,3,0,268,0,3,7,4,6,6,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,4,0,6,0,0,0,0,3,0,0,0,0,5,0,3,8,8,16,18,3,4,0,52,0,0,7,12,11,5,0,0,0,43,0,0,0,0,5,6,0,0,0,10,0,0,0,0,9,10,5,0,0,22,0,0,0,0,0,4,0,0,0,0
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100103,6,4,17,20,11,5,0,0,0,63,0,0,0,0,0,0,3,0,0,6,0,0,0,0,8,4,3,0,0,19,0,0,0,0,0,3,4,0,0,8,0,0,0,0,0,3,5,0,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,0,3,0,0,14,6,0,15,27,26,22,23,0,0,122,0,7,15,33,16,4,3,0,0,81,0,0,0,0,6,0,0,0,0,4,0,0,0,0,6,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,4,4,3,3,0,0,0,15,5,7,17,39,32,22,4,3,0,127,3,5,32,49,33,7,4,0,0,143,0,0,0,6,3,0,3,0,0,7,0,0,0,4,7,12,3,0,0,38,0,0,0,0,0,3,0,3,0,5
90101100104,0,6,21,21,17,13,7,0,0,91,0,5,4,0,4,0,0,0,0,16,0,0,5,3,6,11,10,0,0,43,0,0,0,0,3,0,4,0,0,8,0,0,0,0,0,0,14,3,0,24,0,0,0,0,0,0,5,0,0,4,0,9,24,17,22,3,10,0,0,79,0,15,56,44,55,35,45,9,0,264,3,6,22,24,20,11,0,0,0,85,0,0,0,3,5,0,4,0,0,11,0,0,3,0,8,9,3,0,0,23,0,0,0,0,0,0,4,0,0,4,0,0,0,0,6,0,4,0,0,8,0,0,0,0,0,0,0,3,0,9,0,3,12,11,4,9,3,3,0,48,4,13,39,42,43,28,21,7,0,186,0,11,46,45,37,24,10,0,0,175,0,5,9,3,10,7,0,0,0,24,0,6,12,8,13,25,14,0,0,67,0,0,0,0,3,0,8,0,0,12
90101100105,0,4,23,16,12,13,10,0,0,91,0,0,6,0,4,3,0,0,0,9,0,0,8,0,5,10,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,13,0,0,0,0,0,0,0,0,0,7,4,0,6,0,7,6,9,0,0,37,3,4,40,20,28,37,31,3,4,185,5,7,19,12,10,12,3,0,0,73,0,0,4,7,3,3,0,0,0,14,0,0,0,3,0,6,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,8,9,6,6,0,0,0,32,5,3,39,31,23,31,16,3,0,152,5,12,50,34,27,25,20,6,0,166,0,0,3,3,10,8,0,0,0,25,0,0,8,3,10,20,10,0,0,49,0,0,0,0,0,0,0,0,0,0
90102100201,0,8,7,19,3,3,0,5,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,3,6,11,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,5,0,15,0,0,0,0,0,12,9,10,3,38,0,4,3,5,3,7,4,5,0,38,0,20,19,29,11,34,24,15,3,159,4,13,17,17,3,4,0,0,0,61,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,9,0,0,0,16,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,14,16,5,0,41,0,0,7,6,5,6,4,7,0,34,4,16,25,26,14,42,20,11,0,160,5,20,25,38,7,3,3,5,0,105,0,0,3,4,0,0,0,0,0,11,0,0,0,6,3,15,0,0,0,29,0,0,0,0,0,0,0,0,0,4
90102100202,0,0,4,6,3,9,3,0,0,22,0,0,0,4,0,4,0,0,0,5,0,0,0,0,3,8,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,0,4,0,11,0,0,8,10,16,23,5,4,0,61,0,0,10,7,10,7,0,0,0,37,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,0,0,0,17,3,5,12,13,15,13,3,0,0,60,0,0,12,11,17,14,0,0,0,58,0,0,0,3,0,4,0,0,0,5,0,0,0,0,5,10,5,0,0,23,0,0,0,0,0,0,0,0,0,0
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,8,0,0,3,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90103100301,5,6,6,6,7,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,3,4,6,12,7,5,4,0,0,51,5,7,4,4,4,7,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,5,7,7,14,4,7,0,6,0,50,9,8,12,12,8,13,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,3
90103100302,0,0,3,3,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,10,0,0,0,5,0,3,0,0,0,6,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,7,6,6,0,31,0,3,7,12,12,11,13,8,0,64,0,4,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,3,0,5,0,0,11,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6,0,4,3,0,25,3,4,9,7,22,5,10,7,0,69,0,4,7,0,8,5,0,0,0,21,0,0,0,0,4,0,0,0,0,3,0,5,0,0,4,4,5,0,0,14,0,0,0,7,5,0,5,4,0,20
