SA1_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
90101100101,0,0,0,0,6,7,14,3,0,23,0,0,0,0,0,0,3,3,0,10,0,20,103,56,28,4,0,0,0,211,0,22,116,67,50,30,26,9,0,324
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,0,0,0,0,5,9,6,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,3,3,4,6,3,0,0,27,0,10,32,63,60,40,29,7,0,247
90101100104,0,0,0,0,6,0,18,5,0,28,0,0,0,0,5,0,0,4,0,11,0,9,39,26,29,12,12,3,0,130,3,30,91,87,99,64,72,15,0,453
90101100105,0,0,0,0,0,3,10,0,3,19,0,0,0,0,0,0,5,0,0,5,0,0,21,10,9,11,11,4,0,69,9,9,76,52,54,69,50,5,4,338
90102100201,0,0,6,0,0,5,3,0,0,14,0,0,0,0,0,24,27,17,11,77,5,8,10,10,8,11,10,7,0,74,3,31,43,59,26,73,47,29,11,324
90102100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,9,5,4,0,29,3,5,19,20,29,37,10,4,0,116
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,0,0,13
90103100301,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,22,13,13,9,17,17,16,4,5,0,97
90103100302,0,0,0,0,3,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,3,5,14,5,8,10,12,8,0,57,0,13,18,16,32,18,21,12,0,130
90103100303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,11
90103100304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100401,0,0,0,0,0,4,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,7,0,4,16,7,20,20,51,53,79,57,21,7,310
90104100402,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,6,8,11,0,49,10,14,19,48,40,75,49,27,4,293
90104100403,0,0,0,0,3,0,3,4,0,10,0,0,0,0,0,0,0,0,0,0,5,6,7,6,4,15,3,3,0,42,10,15,50,69,69,100,87,31,13,438
90104100404,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,3,5,13,15,5,10,0,73,7,22,37,46,69,85,64,38,12,380
90104100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7
90104100406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,11,16,11,3,0,56,8,13,35,37,64,66,68,43,10,351
90104100408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999949999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
