SA1_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
90101100101,0,0,0,0,0,0,3,0,0,6,0,0,4,0,0,7,0,0,0,12,0,0,0,0,3,0,0,0,0,10,0,0,0,5,4,0,0,0,0,13,0,0,3,0,6,5,4,0,0,14,0,0,0,0,0,0,0,0,0,9,0,0,0,3,4,0,0,0,0,15,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,103,56,29,4,0,0,0,209,3,22,116,67,50,30,26,9,0,324
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,0,0,0,0,3,3,0,0,0,8,0,0,0,4,0,3,0,0,0,10,0,0,3,5,3,3,6,0,0,21,0,0,9,7,0,4,6,0,0,21,0,0,10,16,5,4,0,0,0,31,0,0,4,8,3,0,0,0,0,23,0,0,4,16,22,10,4,0,0,56,0,0,0,5,3,3,0,0,0,10,0,0,0,0,0,4,0,0,0,4,0,0,3,3,6,3,0,0,0,17,9,10,32,63,60,40,29,7,0,256
90101100104,0,0,0,7,0,0,0,0,0,15,0,0,5,0,10,7,5,0,0,28,0,0,15,6,5,8,0,0,0,35,0,4,5,6,16,7,4,0,0,38,0,0,11,11,3,7,8,0,0,31,0,4,6,9,5,6,0,0,0,33,0,0,10,7,14,11,7,0,0,47,0,0,0,0,4,3,0,0,0,9,0,0,0,0,4,0,0,0,0,3,0,9,35,29,26,13,14,3,0,130,24,30,91,87,95,68,72,15,0,469
90101100105,0,0,4,0,0,0,5,0,0,17,0,3,4,4,5,3,0,0,0,16,0,3,13,3,6,7,5,0,0,44,0,0,11,3,0,3,0,0,0,23,0,0,8,0,3,6,3,0,0,23,0,0,3,6,4,0,5,0,0,26,0,0,5,6,7,7,0,0,0,32,0,0,5,0,0,5,0,0,0,8,0,0,0,0,0,4,0,0,0,7,0,0,21,10,11,13,5,0,0,64,20,9,76,52,54,69,50,5,4,344
90102100201,0,0,6,5,0,4,9,0,0,26,0,3,9,5,10,8,0,0,0,35,0,6,12,6,6,6,0,0,0,31,0,0,0,5,0,7,0,0,0,17,0,0,0,5,0,0,0,5,0,4,0,0,0,5,0,4,0,0,0,8,0,0,0,8,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,8,4,14,9,6,0,52,11,31,46,58,29,75,43,29,11,333
90102100202,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,11,0,0,0,0,4,4,0,0,0,8,0,0,0,4,3,3,0,0,0,10,0,0,0,7,3,8,0,0,0,18,0,0,0,4,0,4,0,0,0,8,0,0,0,0,4,0,0,0,0,4,0,0,3,0,3,9,5,4,0,29,0,5,19,20,29,37,10,4,0,121
90102100203,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,0,0,14
90103100301,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,5,0,0,6,5,3,4,0,0,0,14,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,4,0,0,0,21,14,13,9,17,17,16,4,5,0,98
90103100302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,10,10,13,14,12,8,0,68,12,13,18,16,32,18,21,12,0,136
