SA1_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
90101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,19,0,8,103,109,0,3,56,61,0,11,24,42,0,11,4,14,0,16,0,18,0,3,0,3,0,0,0,0,0,64,209,277,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,8,0,8,0,8,0,8,0,11,0,16,0,17,0,18,0,3,0,3,0,4,0,4,0,0,0,0,0,57,0,61,0,0,0,0,0,3,0,3,0,3,0,3,0,0,20,22,0,10,103,116,0,16,56,67,0,31,26,50,0,20,4,30,0,21,0,26,0,9,0,9,0,0,0,0,0,121,214,334
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
90101100103,0,8,0,13,0,37,5,39,0,9,0,9,0,0,0,0,0,15,0,15,0,23,0,27,0,24,5,26,0,18,0,22,4,19,0,23,4,0,0,0,0,0,0,0,5,152,11,174,0,6,0,8,0,30,6,30,0,7,0,9,0,7,0,7,0,15,3,17,0,37,4,39,0,28,4,32,0,17,3,22,0,7,0,4,0,0,0,3,0,0,0,0,5,155,15,176,0,19,3,24,3,60,6,71,0,10,0,9,0,10,0,10,0,29,3,32,0,59,6,63,0,49,3,60,0,35,3,40,4,20,0,29,4,5,0,7,0,0,0,0,8,310,28,350
90101100104,0,20,0,24,0,23,4,28,0,6,0,7,0,12,9,15,0,28,24,56,0,26,19,44,0,35,22,55,0,32,0,35,4,36,10,45,0,9,0,9,0,0,0,0,3,233,86,322,0,12,0,16,0,24,3,34,0,11,0,10,0,6,3,13,0,26,13,39,0,29,15,42,0,36,3,41,4,17,9,27,0,16,3,21,3,4,3,7,0,0,0,0,7,189,50,251,0,36,0,40,0,51,11,60,0,19,0,24,0,13,9,30,0,57,35,91,0,55,26,87,0,67,29,95,4,57,10,68,0,54,12,72,3,10,3,15,0,0,0,0,10,422,137,568
90101100105,0,7,0,7,0,24,9,31,0,8,4,9,0,4,0,4,0,31,6,40,0,15,0,20,0,29,3,28,0,27,8,37,0,29,9,31,0,3,0,3,0,5,0,4,5,188,42,229,0,10,0,9,0,25,3,29,0,13,0,12,0,3,0,3,0,25,8,39,0,24,9,31,0,18,6,23,0,26,5,31,0,14,0,16,0,3,0,3,0,0,0,0,5,164,32,199,0,22,0,18,0,49,14,64,0,16,0,20,0,9,0,9,0,58,21,76,0,39,10,52,0,49,10,54,0,59,12,69,0,43,11,50,0,11,0,5,0,5,0,4,9,351,73,433
90102100201,0,10,4,18,0,39,3,40,0,4,0,4,0,16,3,20,0,20,3,19,0,30,4,32,0,7,3,16,3,28,3,34,0,16,4,25,3,7,5,15,3,0,0,3,8,181,34,225,0,10,0,14,0,23,3,25,0,3,0,3,0,16,6,16,0,21,7,21,0,27,3,26,0,12,0,14,0,32,7,41,3,22,6,26,3,3,0,11,4,0,0,0,16,165,32,211,0,25,6,32,3,57,7,73,0,7,0,11,0,29,3,31,0,37,10,46,0,51,6,58,0,26,4,29,0,57,14,75,3,36,5,43,6,13,6,29,9,0,0,11,25,341,64,432
90102100202,0,5,0,5,0,14,4,11,0,0,0,0,0,0,0,0,0,4,3,8,0,4,3,10,0,9,3,16,0,15,7,23,0,4,0,5,0,0,4,4,0,0,0,0,0,57,14,74,0,0,0,0,0,6,0,7,0,0,0,3,0,0,0,5,0,10,4,12,0,8,5,13,0,9,4,15,0,10,3,13,0,5,0,3,0,0,0,0,0,0,0,0,0,59,15,69,0,10,0,10,0,18,6,21,0,3,0,0,0,0,0,5,0,14,3,19,0,13,0,20,0,23,3,29,0,31,9,37,0,4,5,10,0,0,4,4,0,0,0,0,0,114,34,147
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,5,0,0,0,0,0,3,0,3,0,3,0,5,0,0,0,0,0,0,0,0,4,10,0,14
90103100301,0,0,0,0,0,3,3,11,0,0,0,3,0,6,0,4,0,6,0,6,0,7,0,12,0,7,3,7,0,4,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,45,13,64,0,8,0,8,0,12,0,12,0,7,0,6,0,6,0,7,0,4,0,7,0,8,3,14,0,5,0,4,0,7,3,7,0,0,0,0,3,0,0,6,0,0,0,0,4,60,12,67,0,12,0,12,0,20,3,27,0,11,0,14,0,12,0,13,0,12,0,9,0,18,4,17,0,10,4,17,0,11,4,16,0,0,0,4,3,0,0,5,0,0,0,0,3,103,20,128
90103100302,0,0,3,3,0,5,4,10,0,3,0,7,0,5,0,3,0,3,6,7,0,5,3,12,0,7,0,12,0,4,7,11,0,3,9,13,0,0,6,8,0,0,0,0,5,32,40,75,0,3,3,4,0,4,8,9,0,4,3,7,0,3,0,4,0,3,4,9,0,3,4,7,5,10,3,22,0,3,0,5,0,5,4,10,0,0,3,7,0,0,0,0,7,41,41,88,0,4,4,7,0,5,15,20,0,8,3,12,0,6,5,13,0,10,13,18,0,7,5,16,5,20,8,32,0,7,10,18,0,8,7,21,0,4,8,12,0,0,0,0,7,76,80,167
