SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
90101100101,0,20,106,56,29,6,0,0,0,218,10,26,116,67,50,30,26,9,0,334
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,9,0,3,8,9,6,3,0,0,37,94,19,32,63,60,40,29,7,0,350
90101100104,10,11,35,26,29,10,16,3,0,130,102,49,91,87,95,68,72,15,0,568
90101100105,14,6,15,13,8,13,11,0,0,86,87,28,76,52,54,69,50,5,4,433
90102100201,20,10,10,8,6,13,10,11,0,85,103,43,46,58,29,75,43,29,11,432
90102100202,5,4,3,0,3,9,5,4,0,31,26,5,19,20,29,37,10,4,0,147
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,0,0,14
90103100301,6,3,0,6,4,4,0,0,0,25,35,21,9,17,17,16,4,5,0,128
90103100302,13,9,14,5,12,10,12,8,0,79,26,17,18,16,32,18,21,12,0,167
90103100303,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,11
90103100304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100401,3,0,0,3,0,9,3,0,0,19,70,32,20,51,53,79,57,21,7,389
90104100402,14,3,0,11,7,3,4,10,0,62,73,38,19,48,40,75,49,27,4,373
90104100403,11,5,10,15,3,7,6,6,0,59,56,34,50,69,69,100,87,31,13,504
90104100404,12,5,3,9,10,14,8,9,0,72,71,43,37,46,69,85,64,38,12,468
90104100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7
90104100406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100407,9,7,8,4,11,13,6,3,0,70,83,41,35,37,64,66,68,43,10,452
90104100408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999949999,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
