SA1_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
90101100101,3,7,5,6,10,6,16,0,0,48,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,3,0,14,0,20,106,56,24,5,0,0,0,212,3,27,109,61,42,14,18,3,0,277,4,0,8,8,11,14,0,0,0,46,0,0,0,0,5,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,8,0,0,0,0,3,5,0,0,0,6,4,3,8,8,16,18,3,4,0,61,10,9,16,13,18,17,20,0,0,98,0,0,0,0,3,0,4,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,3,5,0,22,0,20,106,56,29,6,0,0,0,218
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
90101100103,39,5,15,18,19,17,14,0,0,129,3,0,0,6,6,3,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,7,3,3,4,0,30,6,0,0,0,5,3,3,0,0,18,55,5,15,27,26,22,23,0,0,174,36,6,11,30,20,13,7,0,0,126,0,4,4,8,5,4,0,0,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,4,8,3,5,4,0,0,29,0,0,3,5,8,3,0,0,0,25,44,9,17,39,32,22,4,3,0,176,73,15,24,44,41,29,18,3,0,256,5,4,7,12,8,8,8,0,0,53,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,5,4,10,12,9,5,4,4,0,61,9,0,3,8,9,6,3,0,0,37
90101100104,41,18,24,25,32,28,27,7,0,198,8,5,6,0,3,5,11,4,0,35,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,3,0,0,0,3,8,5,5,0,4,10,15,4,0,45,4,9,24,15,22,0,12,0,0,84,50,28,56,44,55,35,45,9,0,322,37,12,24,23,24,14,15,5,0,154,5,7,0,4,7,3,4,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,7,0,4,7,7,4,0,0,37,4,6,13,9,3,9,3,3,0,51,47,24,39,42,41,27,21,7,0,251,81,28,48,50,59,40,39,11,0,352,7,7,7,4,13,8,15,4,0,74,0,0,0,0,0,7,3,0,0,12,0,0,0,0,0,3,0,0,0,4,13,7,11,4,9,18,21,3,0,85,10,11,35,26,29,10,16,3,0,130
90101100105,37,8,27,16,22,26,15,0,5,148,0,4,4,5,0,4,8,5,0,25,0,0,0,0,3,5,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,6,12,5,0,38,9,4,7,0,3,8,13,0,0,44,39,13,40,20,28,37,31,3,4,229,31,12,22,22,13,22,15,0,0,136,0,0,0,9,6,3,5,3,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,5,9,3,0,29,3,0,8,12,6,8,0,0,0,41,37,22,39,31,23,31,16,3,0,199,66,19,55,32,33,44,26,0,5,280,3,5,4,9,5,9,12,5,0,45,0,0,0,0,3,9,9,0,0,13,0,0,0,0,0,0,0,0,0,0,3,5,5,11,7,14,13,5,0,68,14,6,15,13,8,13,11,0,0,86
90102100201,42,16,13,26,12,22,14,6,4,164,7,0,0,0,0,3,4,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,3,4,6,3,19,9,3,4,4,3,9,9,4,0,42,55,21,19,32,16,34,25,15,3,225,33,18,14,20,12,22,11,4,0,133,0,4,3,0,0,5,9,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12,9,0,4,32,8,8,5,6,3,10,3,5,0,49,44,21,21,26,14,41,26,11,0,211,76,29,24,48,18,47,28,15,3,293,7,4,3,0,0,12,13,6,5,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,7,4,3,4,0,16,13,5,4,52,20,10,10,8,6,13,10,11,0,85
90102100202,17,0,4,8,7,13,3,0,0,47,0,0,0,0,8,0,4,0,0,14,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4,0,0,15,0,0,3,3,3,7,0,4,0,12,16,0,8,10,16,23,5,4,0,74,7,3,5,8,12,13,5,0,0,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,4,4,5,4,3,0,0,0,15,11,5,12,13,15,13,3,0,0,69,24,4,11,16,17,24,5,0,0,93,0,0,4,0,9,3,4,0,0,13,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,6,4,0,0,19,5,4,3,0,3,9,5,4,0,31
90102100203,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,5,0,0,0,5,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90103100301,7,9,6,8,0,7,0,0,0,35,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,12,6,3,0,0,3,0,0,0,0,16,15,11,6,12,7,5,4,0,0,64,21,7,7,6,3,7,0,0,0,45,0,3,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,11,0,0,0,3,0,3,0,0,0,11,18,16,7,14,4,7,0,6,0,67,29,16,10,11,12,7,0,0,0,82,3,3,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,4,0,5,8,0,0,0,0,20,6,3,0,6,4,4,0,0,0,25
90103100302,4,3,3,7,7,4,0,0,0,23,0,0,0,0,3,3,4,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,9,0,0,0,0,3,3,4,0,0,17,8,4,6,5,5,7,6,6,0,40,13,6,7,12,12,11,13,8,0,75,6,3,4,0,4,0,6,0,0,19,0,0,0,0,5,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,11,0,0,0,0,6,3,3,0,0,29,6,4,4,0,6,0,4,3,0,42,16,13,9,7,22,5,10,7,0,88,11,12,7,7,10,4,6,0,0,42,0,0,3,0,5,4,6,0,0,20,0,0,0,0,3,0,0,0,0,8,0,0,0,0,4,3,3,0,0,19,0,0,3,6,10,7,9,4,0,43,13,9,14,5,12,10,12,8,0,79
