SA1_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
90101100101,5,0,0,0,0,0,0,70,4,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,14,207,236,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,4,0,0,5,5,0,0,0,0,5,91,218,324,0,0,0,0,0,0,0,0,0,0,0,11,0,9,6,0,0,0,0,0,0,0,0,0,0,3,0,12,0,3,0,0,3,0,0,0,0,0,3,11,0,24,0,0,0,0,0,0,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,31,0,30,0,0,0,0,3,0,0,0,0,0,0,17,5,23,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,214,209,7,4,0,0,5,5,0,0,0,0,5,91,218,324,0,0,0,0,0,0,0,0
90101100102,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
90101100103,12,5,0,0,10,0,10,140,7,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,5,0,0,0,0,4,19,4,33,0,0,0,0,0,0,0,0,0,0,0,5,19,21,3,18,9,0,12,9,5,0,10,0,17,170,29,256,0,0,0,0,0,0,0,0,0,0,0,14,4,16,0,0,0,0,0,0,0,0,0,0,0,11,0,14,0,6,0,0,0,3,0,0,0,0,10,13,0,28,0,0,0,0,0,0,0,0,0,0,0,14,0,20,0,5,0,0,3,0,0,0,4,0,3,50,3,71,0,4,3,0,6,5,0,0,0,0,0,55,3,75,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,17,3,18,9,0,12,9,5,0,10,0,17,170,29,256,0,0,0,0,3,3,0,0
90101100104,10,6,0,0,17,0,16,204,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,7,0,0,0,3,0,10,47,0,74,0,0,0,0,0,0,0,0,0,0,0,3,120,127,14,27,3,0,17,9,3,8,20,3,25,252,123,469,4,0,0,0,3,0,0,0,0,0,0,28,0,28,0,3,0,0,0,0,0,0,6,0,3,14,0,18,0,3,0,0,7,0,0,0,0,0,9,25,0,46,0,3,0,0,0,0,0,0,6,0,3,31,0,37,7,9,0,0,0,0,0,0,3,0,3,80,0,111,0,5,0,0,4,3,0,0,0,0,3,62,0,79,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,3,0,0,0,0,0,0,0,0,3,5,120,130,14,27,3,0,17,9,3,8,20,3,25,252,123,469,0,4,0,0,0,0,0,0
90101100105,11,5,4,0,0,0,8,166,8,213,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,10,5,3,0,0,0,9,36,6,69,0,0,0,0,3,0,0,0,0,0,0,0,58,56,12,21,8,0,24,8,4,0,3,0,17,207,70,344,0,4,0,0,0,0,0,0,0,0,0,23,3,29,0,0,0,0,0,0,0,0,0,0,0,12,5,18,3,0,0,0,5,0,3,0,0,0,4,25,0,43,0,4,0,0,3,0,3,0,4,0,4,26,0,36,4,4,0,0,3,0,0,0,0,0,0,74,3,88,3,0,4,0,6,0,0,0,0,0,7,34,0,54,0,0,0,0,0,0,0,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,0,0,3,58,64,12,21,8,0,24,8,4,0,3,0,17,207,70,344,0,0,0,0,4,0,0,0
90102100201,9,0,0,0,4,0,4,128,3,152,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,10,0,0,8,0,5,0,9,3,13,74,13,119,0,0,0,0,0,0,0,0,0,0,0,3,48,56,6,12,5,0,15,3,4,0,6,3,14,205,67,333,0,0,0,0,0,0,0,0,0,0,0,20,5,25,0,0,0,0,0,0,0,0,0,0,0,14,0,26,3,5,0,0,7,0,0,0,3,0,10,59,0,89,5,3,0,0,0,0,0,0,0,0,0,50,4,64,0,5,0,0,4,0,0,0,0,0,0,42,7,55,0,0,0,0,0,0,0,0,0,0,0,14,4,16,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,47,52,6,12,5,0,15,3,4,0,6,3,14,205,67,333,4,4,0,0,0,0,0,0
90102100202,0,4,0,0,4,0,4,66,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,29,29,8,8,0,0,3,3,0,0,3,0,5,66,29,121,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,4,9,0,16,3,0,0,0,0,4,0,0,0,0,0,14,0,14,0,6,0,0,0,0,0,0,0,0,0,20,0,19,0,0,0,0,0,0,0,0,4,0,0,17,0,26,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,29,29,8,8,0,0,3,3,0,0,3,0,5,66,29,121,0,0,0,0,0,0,0,0
90102100203,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0
90103100301,3,0,0,0,5,0,4,46,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,4,0,4,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,21,8,8,0,0,7,0,0,0,8,0,9,47,20,98,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,7,0,0,3,0,0,0,4,0,7,8,6,16,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,4,0,0,4,0,0,0,0,0,0,15,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,21,8,8,0,0,7,0,0,0,8,0,9,47,20,98,0,0,0,0,3,0,0,0
90103100302,3,0,0,0,0,0,0,17,6,24,0,0,0,0,4,0,0,0,0,0,0,0,0,3,10,6,3,3,17,12,4,5,17,5,13,15,5,54,0,0,0,0,0,0,0,0,0,0,0,0,57,56,10,7,4,3,22,16,4,5,19,5,13,33,61,136,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,6,4,3,0,3,9,4,5,8,0,20,3,5,0,3,12,6,0,0,7,0,12,14,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,5,62,68,10,7,4,3,22,16,4,5,19,5,13,33,61,136,4,0,0,0,3,5,0,3
