SA1_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
90101100101,0,0,0,0,0,0,5,4,0,0,10,5,0,0,0,0,0,95,11,121,0,0,0,0,0,0,0,0,0,0,0,0,214,214,7,4,0,0,5,5,0,0,0,0,5,95,218,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,5,5,0,0,0,0,5,86,11,112,0,0,0,0,0,0,0,0,0,0,0,0,214,214,7,4,0,0,5,5,0,0,0,0,5,91,218,324
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,0,0,3,0,0,8,3,14,9,0,8,8,0,0,12,0,13,238,15,310,0,0,0,0,0,0,0,0,0,0,0,3,30,28,3,17,9,0,12,8,5,0,12,0,17,245,37,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,18,9,0,12,5,5,0,10,0,17,157,14,231,0,0,0,0,0,0,0,0,0,0,0,0,19,22,3,18,9,0,12,9,5,0,10,0,17,170,29,256
90101100104,5,0,5,0,0,10,6,29,6,0,21,11,3,10,18,5,26,322,0,422,0,0,0,0,0,0,0,0,0,0,0,10,133,137,11,35,6,0,20,11,3,10,21,3,24,328,130,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,3,0,4,8,30,3,0,17,9,3,3,19,3,25,248,0,342,0,0,0,0,0,0,0,0,0,0,0,0,120,127,14,27,3,0,17,9,3,8,20,3,25,252,123,469
90101100105,0,0,5,0,0,9,11,23,3,0,13,8,4,0,3,0,12,267,14,351,0,0,0,0,0,0,0,0,0,0,0,4,69,73,12,23,8,0,24,8,4,0,3,0,17,274,86,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,9,10,19,8,0,17,5,4,0,3,0,16,204,9,281,0,0,0,0,0,0,0,0,0,0,0,0,58,56,12,21,8,0,24,8,4,0,3,0,17,207,70,344
90102100201,0,3,10,10,0,25,10,16,5,0,11,0,4,0,4,0,10,268,26,341,0,0,0,0,0,0,0,0,0,0,0,4,59,64,6,14,5,0,15,3,4,0,6,3,22,276,85,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,0,15,0,4,0,6,3,14,189,18,271,0,0,0,0,0,0,0,0,0,0,0,13,50,60,6,12,5,0,15,3,4,0,6,3,14,205,67,333
90102100202,0,0,0,0,0,0,8,8,0,0,0,3,0,0,4,0,4,88,3,114,0,0,0,0,0,0,0,0,0,0,0,0,26,34,8,8,0,0,3,3,0,0,4,0,5,91,31,147,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,0,0,0,4,0,0,4,0,5,69,0,86,0,0,0,0,0,0,0,0,0,0,0,0,29,29,8,8,0,0,3,3,0,0,3,0,5,66,29,121
90102100203,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14
90103100301,4,0,0,0,0,3,4,14,0,0,3,0,0,0,4,0,7,76,0,103,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8,14,0,0,7,0,0,0,8,0,13,74,25,128,0,0,0,0,0,0,0,0,0,0,0,31,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,29,0,33,8,6,0,0,9,0,0,0,4,0,6,18,6,38,0,0,0,0,0,0,0,0,0,0,0,0,19,22,8,8,0,0,7,0,0,0,8,0,9,47,20,98
90103100302,7,0,4,0,0,7,9,5,3,0,25,9,0,0,8,5,14,34,8,76,0,0,0,0,0,0,0,0,0,0,0,7,71,80,10,10,4,3,22,16,4,5,19,5,13,39,79,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,4,3,22,16,4,5,19,5,13,33,5,81,0,0,0,0,0,0,0,0,0,0,0,0,59,59,10,7,4,3,22,16,4,5,19,5,13,33,61,136
