SA1_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
90101100101,0,0,0,0,0,0,20,19,0,3,103,109,0,5,56,61,4,7,24,42,3,11,5,14,3,12,0,18,0,0,0,3,0,0,0,0,13,49,215,270,0,0,0,0,0,0,0,3,0,6,0,8,0,8,0,8,3,10,0,16,0,14,0,18,0,3,0,3,0,4,0,4,0,0,0,0,8,46,0,52,0,4,0,3,3,0,20,22,5,7,103,116,4,9,56,67,3,21,31,50,3,18,5,30,0,19,4,26,0,6,0,9,0,0,0,0,21,89,213,324
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
90101100103,0,9,0,9,0,0,0,0,3,14,0,15,3,14,0,27,12,16,0,26,0,18,0,22,4,13,0,23,0,0,0,0,0,0,0,0,22,92,5,119,4,3,0,9,0,0,0,7,4,13,3,17,9,33,4,39,7,17,3,32,8,12,3,22,0,7,0,4,0,3,0,3,0,0,0,0,32,89,8,133,4,9,0,9,0,7,0,10,5,25,4,32,11,46,3,63,15,39,6,60,13,27,3,40,3,21,0,29,0,7,0,7,0,0,0,0,53,184,18,256
90101100104,0,3,0,7,0,13,9,15,3,28,24,56,6,24,15,44,11,29,22,55,7,26,4,35,10,31,9,45,0,3,0,9,0,0,0,0,34,152,84,272,0,9,0,10,0,3,3,13,8,19,13,39,7,20,11,42,7,26,3,41,7,19,9,27,4,14,3,21,0,3,4,7,0,0,0,0,37,116,48,203,0,18,0,24,4,14,9,30,11,47,35,91,12,41,25,87,16,56,29,95,9,46,13,68,12,46,14,72,0,9,4,15,0,0,0,0,70,269,128,469
90101100105,0,7,0,9,0,3,0,4,4,27,10,40,10,7,0,20,12,13,7,28,9,22,8,37,9,23,9,31,3,6,0,3,0,4,0,4,41,109,31,184,0,9,0,12,0,8,0,3,5,27,8,39,10,10,9,31,4,15,6,23,9,20,8,31,6,15,0,16,0,3,0,3,0,0,0,0,34,96,28,163,0,12,4,20,3,6,0,9,5,53,22,76,19,21,10,52,16,30,8,54,19,42,10,69,10,31,7,50,3,5,0,5,0,4,0,4,79,204,57,344
90102100201,0,4,0,4,0,10,3,20,4,15,3,19,9,24,5,32,0,9,3,16,5,20,9,34,0,20,4,25,0,14,0,15,0,5,0,3,16,123,27,165,0,5,0,3,0,16,6,16,0,17,6,21,5,16,6,26,0,12,0,14,4,22,19,41,0,22,6,26,0,11,0,11,0,0,0,0,8,121,40,168,0,6,0,11,0,21,3,31,4,34,14,46,11,37,9,58,0,23,4,29,7,45,24,75,0,35,5,43,0,20,6,29,0,6,0,11,24,242,66,333
90102100202,0,0,0,0,0,0,0,0,0,5,3,8,6,0,3,10,4,6,3,16,8,11,7,23,3,3,0,5,0,0,4,4,0,0,0,0,19,23,11,61,0,0,0,3,0,0,0,5,3,4,4,12,3,7,5,13,8,5,4,15,3,4,3,13,0,5,0,3,0,0,0,0,0,0,0,0,24,25,17,60,0,3,0,0,0,0,0,5,5,5,3,19,11,3,0,20,15,6,3,29,16,18,9,37,3,5,5,10,0,0,4,4,0,0,0,0,45,46,29,121
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,0,3,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,13,0,14
90103100301,0,0,0,3,3,4,0,4,0,0,0,6,0,5,0,12,0,8,3,7,4,3,0,5,0,0,0,4,0,0,0,0,0,0,0,0,13,29,12,51,4,0,0,6,0,7,0,7,0,4,0,7,3,4,3,14,0,5,0,4,4,3,3,7,0,0,0,0,0,0,0,6,0,0,0,0,10,24,14,45,4,7,0,14,0,4,5,13,0,9,0,9,5,10,4,17,3,8,4,17,3,7,4,16,0,0,0,4,0,0,0,5,0,0,0,0,24,53,24,98
90103100302,0,0,3,7,0,5,0,3,0,4,6,7,0,5,9,12,0,12,5,12,0,3,7,11,0,4,7,13,0,0,6,8,0,0,0,0,0,34,30,65,0,4,3,7,0,3,0,4,0,4,8,9,0,3,4,7,0,11,7,22,3,4,0,5,0,11,4,10,0,0,3,7,0,0,0,0,4,37,29,68,0,6,8,12,0,6,5,13,0,5,10,18,0,8,5,16,0,20,13,32,3,8,10,18,0,13,12,21,0,0,8,12,0,0,0,0,6,68,66,136
90103100303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
90103100304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100401,0,6,0,6,0,5,0,9,0,6,0,11,3,13,0,20,8,9,0,25,13,20,5,40,9,17,0,25,4,4,0,8,0,3,0,4,47,85,8,143,4,6,0,14,3,3,0,9,7,8,0,12,9,19,0,28,10,17,0,25,11,26,0,37,13,16,0,26,5,11,0,14,0,5,3,9,59,114,10,177,3,12,0,14,4,10,0,20,7,15,0,20,15,31,0,51,21,30,0,53,24,50,4,79,25,33,4,57,11,15,0,21,3,4,3,7,104,199,18,323
90104100402,0,10,0,9,0,9,0,11,6,4,3,9,3,10,0,20,5,9,5,22,15,16,4,39,6,12,0,22,9,0,7,12,0,0,0,0,47,77,19,146,0,12,3,14,0,0,0,4,0,7,0,12,5,12,8,24,0,13,0,20,11,23,0,39,5,18,7,25,0,10,7,15,0,6,0,6,32,103,26,156,0,18,4,21,3,12,3,14,6,13,3,19,9,30,9,48,8,22,7,40,30,43,3,75,14,35,4,49,10,9,7,27,0,6,0,4,81,183,45,300
90104100403,0,9,0,11,0,3,0,4,3,16,0,23,10,18,6,34,8,21,0,32,10,27,7,46,7,25,0,37,3,14,0,20,0,6,0,6,50,145,24,218,0,10,0,7,0,8,0,10,9,16,4,21,8,19,3,29,12,21,3,32,20,32,0,53,17,31,6,51,5,14,0,16,0,8,0,7,59,153,21,235,0,16,4,19,0,11,6,15,10,33,7,50,24,38,6,69,19,38,3,69,28,63,3,100,26,56,9,87,6,23,6,31,0,10,0,13,106,301,42,446
90104100404,4,7,0,11,5,4,0,9,0,11,0,12,4,12,3,18,6,18,6,27,8,25,5,41,9,10,9,29,0,10,5,18,3,4,0,6,47,95,33,175,4,6,0,11,0,7,0,11,4,13,8,21,5,17,3,27,14,20,7,41,14,26,3,45,14,21,0,37,7,8,3,20,0,7,0,5,68,123,31,220,6,9,3,18,6,7,3,22,4,23,8,37,5,35,9,46,23,39,10,69,23,49,14,85,27,28,12,64,11,23,7,38,0,6,0,12,114,218,63,392
90104100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,4,0,7
