SA1_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
90101100101,0,0,0,0,0,0,0,0,3,0,0,0,20,19,4,0,0,0,3,103,109,3,0,0,0,3,55,61,3,8,0,0,6,24,42,0,3,0,0,3,5,14,0,4,0,0,6,0,18,0,0,0,0,4,0,3,0,0,0,0,0,0,0,16,14,0,3,22,214,270,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,8,0,3,0,0,3,0,16,0,8,0,0,7,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,21,9,0,22,0,52,4,0,0,0,0,0,3,0,3,0,0,3,20,22,4,0,0,0,10,103,116,3,0,0,0,6,55,67,12,8,0,0,4,31,50,0,9,0,0,8,5,30,0,8,0,0,6,4,26,0,0,0,0,0,0,9,0,0,0,0
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100103,0,6,0,0,3,0,9,0,0,0,0,0,0,0,3,3,0,0,8,0,15,7,0,7,3,6,0,27,4,12,4,3,9,0,26,9,8,6,0,4,0,22,0,3,3,0,10,0,23,0,0,0,0,4,0,0,0,0,0,0,0,0,0,30,30,10,5,44,9,119,0,0,0,0,6,0,9,4,0,0,0,0,0,7,5,3,0,0,3,3,17,3,17,10,0,13,4,39,0,13,5,4,4,3,32,0,7,6,7,3,3,22,0,5,0,0,5,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,44,13,11,31,8,133,0,3,0,0,6,0,9,5,5,0,0,0,0,10,10,7,0,0,13,3,32,11,18,16,5,14,3,63,7,27,5,4,11,6,60,10,11,3,6,8,3,40,4,11,3,0,9,0,29,0,0,0,0,4,0,7,0,0,0,0
90101100104,0,0,0,0,5,0,7,7,0,0,0,3,8,15,12,9,3,0,14,24,56,6,8,0,4,9,15,44,6,13,3,0,9,22,55,6,8,4,0,9,4,35,9,6,5,0,18,9,45,0,0,0,0,0,0,9,0,0,0,0,0,0,0,47,47,18,12,66,84,272,5,0,0,0,3,0,10,3,0,0,0,4,3,13,9,8,3,3,7,13,39,3,10,7,6,9,11,42,0,13,12,4,7,3,41,4,0,4,0,5,11,27,0,0,3,8,8,3,21,0,0,0,0,0,3,7,0,0,0,0,0,0,0,24,38,25,15,42,44,203,9,0,0,0,6,0,24,8,0,0,0,10,12,30,15,13,6,3,20,35,91,9,20,7,9,18,25,87,7,26,13,5,21,29,95,10,14,12,9,8,10,68,12,12,10,3,25,14,72,0,0,3,3,0,3,15,0,0,0,0
90101100105,0,0,0,0,5,0,9,0,4,0,0,0,0,4,8,7,0,0,17,12,40,5,0,0,3,3,3,20,5,3,4,0,9,7,28,7,11,0,3,9,8,37,0,10,0,3,13,9,31,0,0,0,0,6,0,3,0,0,0,0,0,0,4,31,37,8,12,59,35,184,6,0,0,0,0,0,12,3,0,0,0,0,0,3,7,8,3,3,8,8,39,0,6,3,11,5,9,31,5,3,10,3,0,6,23,7,10,4,3,5,8,31,0,0,8,3,11,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22,29,27,25,29,28,163,6,3,0,0,4,4,20,0,5,0,0,0,0,9,12,17,3,5,19,20,76,8,16,3,11,7,14,52,8,10,13,3,12,8,54,12,14,4,4,12,10,69,0,13,9,7,23,7,50,0,0,0,0,0,0,5,0,0,0,0
90102100201,0,0,0,0,4,0,4,5,4,0,0,10,3,20,3,0,0,0,13,3,19,3,3,4,0,14,5,32,0,3,0,0,7,3,16,4,3,0,0,17,9,34,6,0,0,0,10,4,25,5,0,0,0,8,0,15,0,0,0,0,5,0,3,28,20,3,9,76,27,165,0,0,0,0,3,0,3,0,7,0,0,12,6,16,3,0,0,0,10,7,21,0,6,0,0,14,6,26,0,0,0,0,7,0,14,4,8,0,0,16,13,41,4,0,3,0,14,6,26,3,0,0,0,5,0,11,0,0,0,0,3,0,0,15,20,9,10,80,35,168,0,0,0,0,5,0,11,5,4,0,0,14,3,31,10,0,0,0,22,10,46,8,7,4,5,30,9,58,3,3,0,3,13,4,29,7,15,0,0,30,21,75,11,5,3,0,17,5,43,6,0,0,3,7,6,29,0,0,0,0
90102100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,6,0,0,0,3,10,3,5,0,0,0,3,16,3,11,6,0,4,7,23,0,0,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,16,18,3,0,3,11,61,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,5,0,0,0,4,12,0,4,0,0,0,5,13,0,0,5,0,3,4,15,5,6,0,0,0,3,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,7,6,7,17,60,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,3,19,4,9,0,0,0,0,20,4,7,9,0,3,3,29,9,11,3,0,0,9,37,0,0,0,3,0,5,10,0,0,0,0,0,4,4,0,0,0,0
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
90103100301,0,0,0,0,0,0,3,0,3,0,0,4,0,4,0,3,0,0,0,0,6,0,4,0,0,0,0,12,4,4,0,0,0,3,7,3,3,0,0,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,4,12,12,51,3,0,0,0,0,0,6,0,0,0,0,5,0,7,0,0,0,3,0,0,7,0,3,0,4,0,3,14,0,0,0,4,0,0,4,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,8,5,8,11,8,45,3,0,0,0,8,0,14,0,3,0,0,5,0,13,4,5,0,0,0,0,9,0,7,5,4,0,4,17,9,4,0,4,0,4,17,3,7,0,0,3,4,16,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0
90103100302,3,0,0,0,0,0,7,4,0,0,0,0,0,3,3,0,0,0,0,6,7,5,0,0,0,0,3,12,3,4,0,0,0,5,12,3,0,0,0,0,7,11,0,4,0,0,0,6,13,0,0,0,0,0,6,8,0,0,0,0,0,0,0,16,9,0,7,11,31,65,0,0,0,0,3,3,7,0,0,0,0,0,0,4,0,0,0,0,0,4,9,0,0,0,0,0,4,7,0,3,0,4,0,6,22,0,0,3,0,3,0,5,3,0,0,5,0,4,10,0,0,0,0,0,3,7,0,0,0,0,0,0,0,9,15,3,7,3,25,68,3,0,0,0,0,3,12,6,0,0,0,0,5,13,3,3,0,0,0,14,18,4,0,0,0,0,5,16,4,7,0,5,0,8,32,0,0,6,0,3,10,18,3,6,0,3,0,12,21,0,0,0,0,0,8,12,0,0,0,0
