SA1_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
90101100101,0,0,0,0,0,3,20,19,0,8,103,109,0,3,56,61,4,9,24,42,0,11,5,14,3,15,0,18,0,3,0,3,0,0,0,0,3,55,215,270,0,0,0,0,0,3,0,3,0,9,0,8,0,8,0,8,0,12,0,16,3,16,0,18,0,0,0,3,0,4,0,4,0,0,0,0,5,46,4,52,0,3,0,3,0,0,20,22,0,8,106,116,0,14,56,67,0,24,31,50,3,21,5,30,3,21,4,26,0,9,0,9,0,0,0,0,13,102,213,324
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
90101100103,4,3,0,9,0,0,0,0,0,15,0,15,6,23,0,27,0,23,8,26,0,18,0,22,0,22,0,23,0,0,0,0,0,0,0,0,9,103,12,119,0,7,0,9,0,0,0,7,0,14,3,17,3,35,4,39,4,25,0,32,0,13,3,22,0,7,0,4,0,3,0,3,0,0,0,0,13,105,12,133,4,13,0,9,0,5,0,10,0,31,4,32,9,53,3,63,4,43,6,60,3,36,3,40,4,25,0,29,0,7,0,7,0,0,0,0,23,212,22,256
90101100104,0,4,4,7,0,12,9,15,0,31,24,56,4,28,15,44,4,30,22,55,4,27,4,35,0,36,9,45,0,9,0,9,0,0,0,0,14,176,82,272,0,11,0,10,0,8,3,13,0,28,13,39,0,29,11,42,3,29,6,41,0,24,9,27,0,16,3,21,0,7,3,7,0,0,0,0,10,142,48,203,0,16,5,24,0,21,9,30,6,56,35,91,8,50,25,87,13,59,26,95,4,51,13,68,5,58,14,72,0,11,3,15,0,0,0,0,24,317,130,469
90101100105,0,7,0,9,0,3,0,4,0,31,10,40,0,21,0,20,0,22,9,28,6,30,7,37,0,28,7,31,0,5,0,3,0,4,0,4,10,142,37,184,0,10,0,12,3,6,0,3,3,21,8,39,0,23,9,31,4,18,6,23,9,21,5,31,0,15,0,16,0,3,0,3,0,0,0,0,15,116,26,163,0,12,4,20,3,6,0,9,3,56,22,76,5,40,10,52,5,40,9,54,12,43,16,69,3,40,4,50,0,4,0,5,0,4,0,4,23,257,67,344
90102100201,0,4,0,4,0,16,3,20,0,14,3,19,0,25,6,32,0,9,3,16,3,25,7,34,0,19,4,25,6,12,0,15,0,5,0,3,9,123,30,165,0,5,0,3,0,16,6,16,4,20,7,21,0,21,7,26,0,12,0,14,4,23,13,41,5,18,6,26,0,9,0,11,0,0,0,0,20,117,38,168,0,6,0,11,0,28,3,31,3,33,10,46,3,42,12,58,3,16,7,29,8,50,19,75,6,33,5,43,4,20,6,29,0,6,0,11,29,239,65,333
90102100202,0,0,0,0,0,0,0,0,0,4,3,8,0,4,3,10,0,9,3,16,0,15,7,23,0,4,0,5,0,0,4,4,0,0,0,0,0,48,11,61,0,0,0,3,0,0,0,5,0,10,4,12,0,8,5,13,0,9,4,15,0,10,3,13,0,5,0,3,0,0,0,0,0,0,0,0,0,46,17,60,0,3,0,0,0,0,0,5,0,14,3,19,0,13,0,20,0,23,3,29,0,26,9,37,0,4,5,10,0,0,4,4,0,0,0,0,0,91,29,121
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,3,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,13,0,14
90103100301,0,0,0,3,0,6,0,4,0,6,0,6,0,7,0,12,0,8,3,7,0,8,0,5,0,0,0,4,0,0,0,0,0,0,0,0,3,34,12,51,0,5,0,6,0,6,0,7,0,4,0,7,0,4,3,14,0,3,0,4,0,0,3,7,0,0,0,0,0,3,0,6,0,0,0,0,5,33,8,45,0,5,0,14,0,12,0,13,0,12,0,9,0,16,4,17,0,8,4,17,6,11,4,16,0,0,0,4,0,3,0,5,0,0,0,0,10,68,22,98
90103100302,0,7,0,7,0,6,6,3,0,4,6,7,4,5,3,12,0,11,5,12,5,3,7,11,4,3,6,13,0,0,6,8,0,0,0,0,11,27,25,65,0,4,3,7,0,0,0,4,0,6,4,9,4,0,4,7,3,13,6,22,0,3,3,5,0,3,4,10,0,0,3,7,0,0,0,0,10,34,28,68,0,3,3,12,0,4,7,13,0,9,14,18,4,3,5,16,5,15,8,32,3,7,8,18,3,9,12,21,0,0,8,12,0,0,0,0,18,55,56,136
