SA1_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
90101100101,0,0,0,0,0,0,0,0,0,0,0,3,20,19,4,0,0,4,3,103,109,0,0,0,0,3,56,61,0,0,0,0,8,26,42,0,0,0,0,11,5,14,0,0,0,0,17,0,18,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,4,60,209,270,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,8,3,0,0,3,5,0,8,0,0,0,0,16,0,16,0,0,0,0,18,0,18,0,0,0,0,6,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,6,0,0,6,48,0,52,0,0,0,0,3,0,3,0,0,0,0,3,20,22,0,0,0,0,13,103,116,3,0,0,3,10,56,67,0,0,0,0,25,31,50,0,0,0,0,23,5,30,0,0,0,0,18,4,26,0,0,0,0,9,0,9,0,0,0,0
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100103,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0,15,17,0,0,17,8,0,27,10,0,0,10,15,0,26,5,0,0,5,15,0,22,0,0,0,0,21,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,35,83,11,119,0,0,0,0,7,0,9,0,0,0,0,3,0,7,6,5,0,8,10,3,17,25,0,3,26,15,4,39,10,0,0,8,21,3,32,0,0,0,0,16,3,22,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,43,7,3,46,74,8,133,0,0,0,0,9,0,9,0,0,0,0,5,0,10,6,5,0,10,21,3,32,42,0,3,41,18,3,63,17,0,0,20,35,6,60,4,0,0,4,37,3,40,0,0,0,0,26,7,29,0,0,0,0,7,0,7,0,0,0,0
90101100104,0,0,0,0,3,0,7,0,0,0,0,10,9,15,10,0,0,13,19,24,56,8,0,0,16,17,15,44,15,0,0,15,24,22,55,4,5,0,7,25,4,35,0,3,0,3,37,9,45,0,0,0,0,9,0,9,0,0,0,0,0,0,0,38,10,3,54,140,84,272,0,0,0,0,11,0,10,0,0,0,0,3,3,13,12,0,0,15,11,13,39,17,0,0,18,11,11,42,9,0,0,10,23,3,41,4,3,0,3,14,9,27,0,3,0,3,11,3,21,0,0,0,0,7,3,7,0,0,0,0,0,0,0,46,5,4,54,98,47,203,0,0,0,0,16,0,24,0,0,0,4,13,9,30,27,0,0,30,31,35,91,24,0,3,27,28,25,87,24,0,0,28,42,29,95,8,8,0,18,43,13,68,0,4,0,4,52,14,72,0,0,0,0,11,3,15,0,0,0,0
90101100105,0,0,0,0,3,7,9,0,0,0,0,4,4,4,5,0,0,5,27,10,40,10,0,0,10,7,0,20,5,0,0,11,15,7,28,5,0,0,8,28,8,37,0,6,0,3,23,9,31,0,0,0,0,5,0,3,0,0,0,0,4,0,4,26,3,0,34,121,37,184,0,0,0,0,13,0,12,0,0,0,3,3,0,3,10,0,0,10,13,8,39,17,0,0,18,6,11,31,8,0,0,8,14,6,23,5,0,0,7,23,8,31,0,3,0,3,11,0,16,0,0,0,0,3,0,3,0,0,0,0,0,0,0,35,10,0,36,91,23,163,0,0,0,0,17,6,20,0,0,0,3,7,4,9,15,0,0,14,45,22,76,25,0,0,26,13,11,52,14,0,0,18,32,8,54,6,6,0,11,55,10,69,0,0,0,7,39,7,50,0,0,0,0,7,0,5,0,0,0,0
90102100201,0,0,0,0,4,0,4,0,0,0,0,16,3,20,11,0,0,11,13,3,19,9,0,0,9,14,5,32,0,0,0,0,8,3,16,0,0,0,0,20,9,34,0,4,0,4,11,4,25,0,0,0,0,9,0,15,0,0,0,0,5,0,3,19,11,0,35,105,27,165,0,0,0,0,5,0,3,3,0,0,3,12,6,16,10,0,0,15,10,7,21,10,0,0,15,7,6,26,0,0,0,0,11,0,14,0,3,0,3,23,13,41,0,9,0,9,18,6,26,0,0,0,0,9,0,11,0,0,0,0,0,0,0,22,14,0,41,96,35,168,0,0,0,0,6,0,11,3,0,0,3,24,3,31,18,0,0,18,15,10,46,26,0,0,25,30,9,58,0,0,0,0,17,4,29,0,8,0,8,44,21,75,0,10,0,10,29,5,43,0,3,0,3,23,6,29,0,0,0,0
90102100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,4,0,0,5,0,3,10,6,0,0,6,3,3,16,0,0,0,0,15,7,23,0,0,0,0,6,0,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,11,0,0,13,32,11,61,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,4,0,0,3,4,12,6,0,0,11,0,5,13,3,0,0,4,8,4,15,0,0,0,0,7,3,13,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,5,18,27,17,60,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,4,0,3,11,3,19,9,0,6,10,5,0,20,8,0,0,11,7,3,29,0,0,0,3,22,9,37,0,0,0,0,4,5,10,0,0,0,0,0,4,4,0,0,0,0
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
90103100301,0,0,0,0,4,0,3,0,0,0,0,6,0,4,0,0,0,0,0,0,6,9,0,0,4,0,0,12,0,0,0,0,5,3,7,0,0,0,0,7,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,11,26,12,51,0,0,0,0,5,0,6,0,5,0,5,5,0,7,3,0,0,4,0,0,7,6,0,0,4,0,0,14,4,0,0,4,0,0,4,0,4,0,4,3,3,7,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,9,7,0,23,15,7,45,0,0,0,0,8,0,14,0,5,0,5,8,0,13,7,0,0,7,0,0,9,9,3,0,14,0,3,17,7,0,0,7,8,4,17,0,5,0,5,8,4,16,0,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,0,0
90103100302,0,0,0,0,7,0,7,0,0,0,0,5,0,3,0,0,0,0,3,6,7,0,0,0,0,6,3,12,0,0,0,0,5,5,12,0,0,0,0,3,7,11,0,0,0,0,4,6,13,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,36,31,65,0,0,0,0,4,3,7,0,0,0,0,3,0,4,0,0,0,3,0,4,9,0,0,0,0,3,4,7,0,0,0,0,8,6,22,0,3,0,3,4,0,5,0,0,0,0,3,4,10,0,0,0,0,0,3,7,0,0,0,0,0,0,0,5,6,0,8,33,25,68,0,0,0,0,3,3,12,0,0,0,0,6,5,13,0,0,0,3,4,14,18,0,0,0,0,4,5,16,0,4,0,4,18,8,32,0,3,0,3,8,10,18,0,0,0,0,9,12,21,0,0,0,0,0,8,12,0,0,0,0
