SA1_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
90101100101,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100102,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,..,0,0,0,0,0,0,0,0,0,..,0,3,5,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,38,11,12,40,26,17,4,3,0,156,..,0,8,41,33,23,13,0,0,119,..,4,12,7,12,10,0,0,0,39,..,0,0,6,4,0,0,0,0,5,80,..,..,..,..,..,..,..,..,80,..,14,..,..,..,..,..,..,..,14,..,9,5,0,0,0,0,0,0,12,..,0,0,0,0,0,4,4,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,6,0,3,8,4,0,0,34,0,0,0,0,0,4,0,0,0,8,81,21,30,62,56,36,27,5,0,318
90101100104,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,6,3,0,0,13,0,0,0,0,0,0,0,0,0,3,42,15,21,24,33,17,17,3,0,176,..,0,33,40,47,29,26,3,0,179,..,3,4,0,3,5,0,0,0,19,..,0,0,0,7,4,0,0,0,10,85,..,..,..,..,..,..,..,..,85,..,18,..,..,..,..,..,..,..,18,..,12,0,6,0,0,0,0,0,14,..,0,0,0,0,5,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,8,3,8,18,5,0,42,0,0,0,0,0,8,5,0,0,14,85,31,39,47,61,49,51,9,0,389
90101100105,..,0,3,3,0,0,0,0,0,4,..,0,0,3,0,5,4,0,0,13,0,0,0,0,0,3,0,0,0,6,35,15,25,21,20,31,13,3,0,160,..,0,20,22,19,37,22,3,3,123,..,3,13,4,4,5,0,0,0,28,..,0,3,3,5,4,0,0,0,17,71,..,..,..,..,..,..,..,..,71,..,12,..,..,..,..,..,..,..,12,..,8,13,0,4,0,0,0,0,20,..,0,0,3,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,3,3,0,0,0,0,0,12,..,0,8,5,8,10,10,0,0,48,0,0,0,0,0,8,3,4,0,16,72,24,57,37,39,61,42,6,4,349
90102100201,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,17,21,27,12,37,20,11,0,183,..,8,30,43,18,57,37,20,0,216,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,84,..,..,..,..,..,..,..,..,84,..,0,..,..,..,..,..,..,..,0,..,18,0,3,0,3,0,0,0,31,..,0,0,0,0,0,0,3,5,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,12,89,38,37,50,20,63,43,26,11,376
90102100202,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,4,4,10,9,10,5,0,0,47,..,0,3,5,14,13,5,0,0,45,..,0,8,6,9,6,0,0,0,23,..,0,0,0,0,0,0,0,0,0,27,..,..,..,..,..,..,..,..,27,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,4,0,4,0,8,0,0,0,0,0,4,0,0,0,4,27,3,6,14,25,24,4,4,0,105
90102100203,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,5,0,0,0,5,0,0,4,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,0,0,14,0,0,3,5,0,3,5,0,0,14
90103100301,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,3,4,8,4,7,0,0,0,54,..,0,0,11,0,11,0,0,0,34,..,0,6,0,0,6,0,0,0,8,..,0,0,4,4,0,0,0,0,6,34,..,..,..,..,..,..,..,..,34,..,3,..,..,..,..,..,..,..,3,..,10,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,3,0,0,0,0,9,0,4,0,0,0,0,0,0,0,4,34,8,9,14,15,8,0,0,0,95
90103100302,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,16,13,9,7,22,5,10,7,0,88,..,0,0,0,11,6,7,0,0,26,..,0,7,3,0,0,0,0,0,6,..,0,0,4,3,0,3,7,0,20,24,..,..,..,..,..,..,..,..,24,..,3,..,..,..,..,..,..,..,3,..,6,4,3,6,0,0,0,0,23,..,5,11,5,6,3,7,0,0,36,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,8,0,0,5,0,6,5,0,0,0,0,3,0,0,0,4,26,17,18,16,32,18,21,12,0,167
