SA1_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
90101100101,270,52,324,44,28,73,0,3,6,0,3,0,0,0,0,45,41,81,223,10,236,0,0,0,16.9,70.4,25.8,16.9,70.4,25.8,0,7,7,0,0,0,0,5,7,3,4,6,15,5,18,4,0,5,0,0,3,16,8,23,60,43,98,12,13,18,48,36,82,14,15,29
90101100102,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,4,0,0,0,0,0
90101100103,119,133,256,80,67,149,7,26,33,12,12,16,0,0,0,102,104,202,12,15,33,1,1,1,81.3,76.9,79,80.5,76.1,78.2,0,9,9,3,3,6,8,17,29,13,9,23,42,18,57,0,0,0,0,0,6,42,23,61,127,126,253,29,33,67,80,89,166,68,60,130
90101100104,272,203,469,132,59,194,22,42,59,6,8,6,0,0,4,161,115,272,32,38,74,0.6,1.8,1.1,57.7,56.8,57.3,57.4,55.8,56.7,5,4,9,3,4,11,12,19,35,21,22,45,60,22,82,8,12,21,0,0,3,70,35,101,201,164,363,39,28,71,139,124,261,78,59,136
90101100105,184,163,344,84,41,129,18,42,67,12,7,23,0,3,4,127,94,224,27,38,69,1.6,3.2,2.3,68.8,58.1,63.9,67.7,56.3,62.4,5,6,10,5,4,7,10,14,27,7,11,16,46,17,64,11,5,12,0,3,3,56,26,77,163,131,293,29,31,56,134,98,230,47,56,101
90102100201,165,168,333,65,35,99,26,27,52,0,0,0,0,5,0,91,64,153,53,77,119,1.1,4.6,2.6,54.2,39.2,46.7,53.6,37.3,45.5,0,0,5,0,0,0,0,0,0,3,6,6,29,15,45,3,7,15,0,0,3,30,22,56,179,157,338,11,9,15,150,139,289,23,17,32
90102100202,61,60,121,28,25,58,11,14,26,0,0,0,0,0,0,40,45,89,9,3,5,0,0,0,69,73.8,71.4,69,73.8,71.4,0,4,4,0,3,7,6,15,22,5,3,9,21,6,23,0,0,0,0,0,0,21,6,23,38,33,75,14,20,38,21,18,35,34,34,72
90102100203,8,5,14,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,6,7,9,33.3,33.3,33.3,50,33.3,40,33.3,22.2,26.7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,0,0,0,5,11,11,0,0,0
90103100301,51,45,98,25,13,41,0,12,9,4,4,5,0,5,3,32,34,67,0,7,7,2.9,6.5,4.6,69.4,66,67.7,67.3,61.7,64.6,0,3,4,0,4,3,12,5,17,10,0,6,9,8,8,0,0,0,0,4,4,11,8,14,39,44,80,12,12,25,17,20,37,31,28,62
90103100302,65,68,136,13,4,14,0,3,0,0,3,3,0,4,3,12,10,20,28,29,54,7.1,20,12.5,20.9,14.3,17.5,19.4,11.4,15.3,0,0,0,0,0,0,0,0,0,0,6,3,12,8,21,0,0,0,0,0,3,14,12,21,45,49,88,0,4,4,24,41,68,4,7,16
