SA1_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
90101100101,60,43,98,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,0,0,0,0,0,0,12,13,18,208,0,214,277,56,330
90101100102,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,127,126,253,7,9,15,0,0,3,0,0,3,0,0,4,0,0,0,21,19,41,0,0,0,0,0,0,0,0,0,0,0,0,20,30,52,0,0,0,0,0,0,29,33,67,16,15,34,173,174,346
90101100104,201,164,363,9,6,18,5,0,8,5,0,5,4,4,9,0,0,0,13,12,24,0,0,0,0,0,0,3,0,4,0,0,0,29,17,44,0,3,4,0,0,0,39,28,71,79,47,129,321,247,565
90101100105,163,131,293,9,10,21,0,0,0,0,0,0,4,3,8,0,0,0,12,16,19,0,0,0,0,0,0,0,0,0,0,0,0,16,17,36,0,0,3,0,0,0,29,31,56,37,39,74,226,196,426
90102100201,179,157,338,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,11,9,17,0,0,0,0,0,0,0,0,0,0,0,0,11,9,17,0,0,0,0,0,0,11,9,15,32,40,72,220,213,428
90102100202,38,33,75,0,0,5,0,4,4,0,0,0,0,0,0,0,0,0,11,13,26,0,0,0,6,4,4,0,3,6,0,0,3,20,22,40,0,0,0,0,0,0,14,20,38,12,15,26,70,69,143
90102100203,5,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,14
90103100301,39,44,80,0,0,0,8,4,11,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,11,13,22,0,0,0,0,0,0,12,12,25,13,12,20,62,66,128
90103100302,45,49,88,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,30,37,70,75,88,165
90103100303,3,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,0,0,0,0,4,9,11
90103100304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
