SA1_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
90101100101,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,6,0,6,4,4,8,0,0,0,18,4,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,6,4,12,3,0,0,0,23,0,0,0,0,0,0,0,0,0,20,106,56,31,5,0,0,0,214,26,114,61,44,13,0,0,0,257
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
90101100103,6,6,0,0,0,0,9,0,3,0,6,0,0,0,0,6,0,5,18,4,0,0,0,0,29,3,3,4,11,0,0,0,0,23,4,4,18,14,5,4,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,19,17,5,4,0,0,61,0,0,0,0,0,0,0,0,3,0,5,5,8,6,4,0,0,32,5,29,57,46,20,11,0,0,169
90101100104,0,5,0,0,0,0,9,0,0,4,0,0,0,0,0,11,0,11,8,10,7,4,0,0,35,0,10,11,8,6,0,0,0,45,10,21,11,9,16,8,0,0,82,4,8,0,0,3,0,0,0,21,0,0,0,0,0,0,0,0,3,16,32,14,17,16,8,0,0,101,0,0,0,0,0,0,0,0,4,13,34,26,26,10,12,3,0,128,32,83,69,65,42,32,4,0,326
90101100105,5,0,4,0,0,0,10,0,0,7,0,0,0,0,0,7,0,5,3,8,3,8,0,0,27,0,3,0,5,5,0,0,0,16,0,17,6,11,13,8,0,0,64,5,0,4,6,0,0,0,0,12,0,0,0,0,0,0,0,0,3,5,21,11,16,16,6,0,0,77,0,0,0,0,0,0,0,0,5,6,21,11,8,22,10,0,0,74,7,53,39,39,43,29,0,0,215
90102100201,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,11,4,16,0,11,3,0,0,45,5,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,14,8,19,0,9,3,0,0,56,0,0,0,0,0,0,0,0,6,10,11,17,13,16,10,9,0,80,24,25,38,15,28,16,11,0,157
90102100202,0,0,0,0,0,0,4,0,0,4,0,5,0,0,0,7,0,4,3,8,5,0,0,0,22,0,0,4,0,0,0,0,0,9,0,0,5,8,12,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,12,3,0,0,23,0,0,0,0,0,0,0,0,0,4,3,0,3,9,5,4,0,29,3,14,20,20,25,9,4,0,90
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8
90103100301,5,0,0,0,0,0,4,0,0,3,0,5,0,0,0,3,4,7,6,0,7,0,0,0,17,0,0,0,4,0,0,0,0,6,0,0,4,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,4,4,4,0,0,0,22,13,15,17,15,12,4,7,0,73
90103100302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,11,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,9,3,4,0,0,21,0,0,0,0,0,0,0,0,0,6,13,8,10,13,15,8,0,68,13,11,10,22,15,19,10,0,101
