SA1_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
90101100101,13,0,0,0,257
90101100102,0,0,0,0,4
90101100103,20,11,0,0,169
90101100104,42,32,4,0,326
90101100105,43,29,0,0,215
90102100201,28,16,11,0,157
90102100202,25,9,4,0,90
90102100203,0,0,0,0,8
90103100301,12,4,7,0,73
90103100302,15,19,10,0,101
90103100303,0,0,0,0,8
90103100304,0,0,0,0,0
90104100401,53,36,6,8,209
90104100402,48,31,17,0,196
90104100403,63,45,20,7,285
90104100404,54,46,25,6,256
90104100405,0,0,6,0,5
90104100406,0,0,0,0,0
90104100407,41,50,26,13,250
90104100408,0,0,0,0,0
99797979993,0,0,0,0,0
99999949999,3,0,0,0,11
