SA1_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
90101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,14,28,20,13,0,0,81
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,5,0,0,0,10,7,5,30,58,48,30,21,0,0,200
90101100104,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,12,17,54,52,60,42,29,0,0,267
90101100105,0,0,0,0,0,0,0,0,0,3,0,0,5,0,5,0,9,0,0,21,8,6,55,36,40,44,22,0,0,213
90102100201,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,12,4,26,31,40,15,35,0,0,0,152
90102100202,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,3,0,0,8,3,0,14,18,23,26,5,0,0,89
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
90103100301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,12,10,13,9,0,0,0,62
90103100302,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,0,0,8,6,0,0,0,0,24
90103100303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,14
90103100304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100401,0,0,0,0,0,0,0,0,0,4,0,0,0,3,6,3,0,0,0,10,12,13,17,40,51,63,27,4,0,226
90104100402,0,0,0,0,0,4,0,0,0,6,0,0,0,0,3,0,0,0,0,9,13,15,15,36,30,57,15,3,0,187
90104100403,0,0,0,3,3,0,0,0,0,8,0,0,0,4,0,3,4,0,0,6,12,10,40,54,54,75,34,7,0,284
90104100404,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,10,15,11,26,33,50,60,30,5,0,229
90104100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
90104100406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100407,0,0,0,0,0,4,0,0,0,7,0,0,3,0,0,0,3,0,0,18,11,15,25,27,44,40,21,9,3,204
90104100408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999949999,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
