SA1_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
90101100101,9,0,15,11,12,3,9,19,0,81
90101100102,0,0,0,0,0,0,0,0,0,3
90101100103,35,31,35,24,28,0,16,17,4,200
90101100104,35,35,43,57,26,0,28,26,5,267
90101100105,25,23,44,26,23,0,24,39,3,213
90102100201,15,22,27,25,17,8,8,32,0,152
90102100202,25,18,15,14,9,0,0,6,0,89
90102100203,0,0,0,0,0,0,0,0,0,3
90103100301,24,18,0,7,3,0,0,0,0,62
90103100302,0,0,6,0,7,0,0,3,5,24
90103100303,4,0,0,3,0,0,0,0,0,14
90103100304,0,0,0,0,0,0,0,0,0,0
90104100401,41,35,36,29,30,19,7,18,8,226
90104100402,20,23,36,21,28,25,5,24,0,187
90104100403,57,30,53,35,33,31,16,32,8,284
90104100404,28,22,43,44,30,24,5,26,0,229
90104100405,0,0,0,0,0,0,0,0,0,4
90104100406,0,0,0,0,0,0,0,0,0,0
90104100407,39,38,26,20,31,21,9,13,3,204
90104100408,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0
99999949999,0,4,0,0,0,0,0,0,0,3
