SA1_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
90101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100103,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,7,0,0,3
90101100104,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,8,3,0,11
90101100105,0,0,0,0,0,0,0,0,0,8,9,0,13,0,0,0,13,4,0,13
90102100201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
90102100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90103100301,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,4,0,0,5
90103100302,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,11,4,19
90103100303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90103100304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100401,0,0,0,0,0,0,0,0,0,0,7,5,11,0,0,0,11,0,0,14
90104100402,0,0,0,0,0,0,0,0,0,6,4,0,9,0,0,0,9,3,0,9
90104100403,0,0,0,0,0,0,0,0,0,16,6,0,20,0,0,0,20,0,0,25
90104100404,0,0,0,0,0,0,0,0,0,7,6,0,18,0,0,0,18,5,0,19
90104100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100407,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,6,3,0,11
90104100408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999949999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
