SA1_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
90101100101,0,0,0,0,0,6,4,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,3,0,3,0,15,0,0,0,0,3,8,0,4,0,11,0,0,0,0,4,0,0,0,0,12,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,4,0,9,0,5,0,0,11,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,40,13,3,19,0,81
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,0,0,0,0,8,10,3,6,0,35,3,0,0,0,9,13,0,7,0,31,3,5,0,0,17,9,0,4,0,35,0,4,3,3,3,0,0,0,0,24,0,5,0,3,10,6,0,0,3,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,4,4,0,0,16,0,3,0,0,9,4,0,4,0,17,0,0,0,0,0,0,0,0,0,4,14,18,7,8,65,44,13,30,11,200
90101100104,0,3,0,0,5,11,4,11,0,35,0,0,8,4,11,10,0,3,0,35,3,3,0,0,9,17,7,11,0,43,0,10,3,3,6,15,0,15,0,57,0,4,0,0,14,8,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,3,8,0,28,0,5,0,0,10,8,0,0,0,26,0,3,0,0,0,0,0,0,0,5,8,40,16,8,63,61,18,52,0,267
90101100105,0,0,0,0,5,7,4,4,4,25,3,0,0,0,5,8,0,0,0,23,3,4,0,0,14,3,6,14,6,44,0,10,6,4,4,0,0,3,0,26,0,3,0,0,9,3,0,4,0,23,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,6,0,3,4,24,0,12,3,4,9,10,0,3,0,39,0,0,0,0,0,0,0,0,4,3,12,33,15,13,51,39,12,29,17,213
90102100201,0,0,0,0,8,0,0,9,0,15,0,0,0,0,6,0,0,6,0,22,0,3,0,0,3,7,3,7,0,27,0,7,5,5,8,0,0,3,0,25,0,5,0,0,7,5,0,6,0,17,0,5,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,6,0,8,0,14,0,0,6,4,0,13,0,32,0,0,0,0,0,0,0,0,0,0,0,33,8,11,33,19,3,44,0,152
90102100202,0,0,0,3,8,4,7,5,0,25,0,0,0,0,3,7,0,5,0,18,0,4,0,0,4,9,0,0,0,15,0,4,0,0,0,0,0,4,0,14,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,9,8,16,22,6,14,0,89
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90103100301,3,0,0,0,0,6,3,8,0,24,3,3,4,0,3,3,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,9,0,3,12,3,18,4,62
90103100302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,0,0,0,14,3,0,0,0,24
