ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
AUS,AUS,AUS,AUSTRALIA,7688094.938
STE,1,1,New South Wales,800797.6591
STE,2,2,Victoria,227496.2479
STE,3,3,Queensland,1730171.221
STE,4,4,South Australia,984231.4202
STE,5,5,Western Australia,2526632.483
STE,6,6,Tasmania,68017.5393
STE,7,7,Northern Territory,1348134.493
STE,8,8,Australian Capital Territory,2358.133
STE,9,9,Other Territories,255.742
IREG,IREG101,101,Dubbo,59121.071
IREG,IREG102,102,North-Eastern NSW,110612.3167
IREG,IREG103,103,North-Western NSW,285887.4955
IREG,IREG104,104,NSW Central and North Coast,54906.7504
IREG,IREG105,105,Riverina - Orange,223988.177
IREG,IREG106,106,South-Eastern NSW,54782.9815
IREG,IREG107,107,Sydney - Wollongong,11498.867
IREG,IREG194,194,No usual address (NSW),0
IREG,IREG197,197,Migratory - Offshore - Shipping (NSW),0
IREG,IREG201,201,Melbourne,8833.2243
IREG,IREG202,202,Victoria exc. Melbourne,218663.0236
IREG,IREG294,294,No usual address (Vic.),0
IREG,IREG297,297,Migratory - Offshore - Shipping (Vic.),0
IREG,IREG301,301,Brisbane,22315.8919
IREG,IREG303,303,Cape York,128897.0344
IREG,IREG304,304,Mount Isa,448743.2177
IREG,IREG305,305,Rockhampton,333893.5131
IREG,IREG306,306,Toowoomba - Roma,473754.0047
IREG,IREG307,307,Torres Strait,879.1507
IREG,IREG309,309,Cairns - Atherton,142439.3558
IREG,IREG310,310,Townsville - Mackay,179249.0525
IREG,IREG394,394,No usual address (Qld),0
IREG,IREG397,397,Migratory - Offshore - Shipping (Qld),0
IREG,IREG401,401,Adelaide,85301.2117
IREG,IREG402,402,Port Augusta,668589.6314
IREG,IREG403,403,Port Lincoln - Ceduna,230340.5771
IREG,IREG494,494,No usual address (SA),0
IREG,IREG497,497,Migratory - Offshore - Shipping (SA),0
IREG,IREG501,501,Broome,55393.548
IREG,IREG502,502,Geraldton,414083.5446
IREG,IREG503,503,Kalgoorlie,951482.769
IREG,IREG504,504,Kununurra,253052.6246
IREG,IREG505,505,Perth,5383.7092
IREG,IREG506,506,South Hedland,513256.5641
IREG,IREG507,507,South-Western WA,223180.8074
IREG,IREG508,508,West Kimberley,110798.9156
IREG,IREG594,594,No usual address (WA),0
IREG,IREG597,597,Migratory - Offshore - Shipping (WA),0
IREG,IREG601,601,Tasmania,68017.5393
IREG,IREG694,694,No usual address (Tas.),0
IREG,IREG697,697,Migratory - Offshore - Shipping (Tas.),0
IREG,IREG703,703,Darwin,10990.3806
IREG,IREG704,704,Jabiru - Tiwi,104472.1761
IREG,IREG705,705,Katherine,321835.2135
IREG,IREG706,706,Nhulunbuy,38025.1366
IREG,IREG707,707,Tennant Creek,303211.1804
IREG,IREG708,708,Alice Springs,327.7132
IREG,IREG709,709,Apatula,569272.6927
IREG,IREG794,794,No usual address (NT),0
IREG,IREG797,797,Migratory - Offshore - Shipping (NT),0
IREG,IREG801,801,ACT,2358.133
IREG,IREG894,894,No usual address (ACT),0
IREG,IREG897,897,Migratory - Offshore - Shipping (ACT),0
IREG,IREG901,901,Christmas - Cocos (Keeling) Is.,149.8614
IREG,IREG902,902,Jervis Bay,67.2296
IREG,IREG903,903,Norfolk Island,38.651
IREG,IREG994,994,No usual address (OT),0
IREG,IREG997,997,Migratory - Offshore - Shipping (OT),0
IARE,IARE101001,101001,Bogan,14999.2903
IARE,IARE101002,101002,Dubbo,3803.0599
IARE,IARE101003,101003,Gilgandra,4442.6569
IARE,IARE101004,101004,Narromine,5956.2535
IARE,IARE101005,101005,Parkes,5652.9204
IARE,IARE101006,101006,Warren,9681.2509
IARE,IARE101007,101007,Warrumbungle Shire,10474.1331
IARE,IARE101008,101008,Wellington,4111.506
IARE,IARE102001,102001,Armidale,3760.1185
IARE,IARE102002,102002,Glen Innes,5479.977
IARE,IARE102003,102003,Gunnedah,4941.2885
IARE,IARE102004,102004,Guyra - Tingha,4678.1898
IARE,IARE102005,102005,Inverell - Gwydir,17435.5101
IARE,IARE102006,102006,Liverpool Plains,5077.8424
IARE,IARE102007,102007,Moree,39.301
IARE,IARE102008,102008,Moree Plains,18283.9055
IARE,IARE102009,102009,Muswellbrook,3404.8841
IARE,IARE102010,102010,Narrabri,13060.7347
IARE,IARE102011,102011,Tamworth,9221.229
IARE,IARE102012,102012,Tenterfield - Jubullum Village,7324.3072
IARE,IARE102013,102013,Upper Hunter,8067.5327
IARE,IARE102014,102014,Uralla - Walcha,9837.4962
IARE,IARE103001,103001,Bourke,42028.1758
IARE,IARE103002,103002,Brewarrina,18511.7678
IARE,IARE103003,103003,Cobar - Murrin Bridge,45551.398
IARE,IARE103004,103004,Coonamble,9628.5955
IARE,IARE103005,103005,Far West,146854.847
IARE,IARE103006,103006,Walgett,23312.7114
IARE,IARE104001,104001,Ballina - Bagotville,480.5548
IARE,IARE104002,104002,Byron,568.1142
IARE,IARE104003,104003,Cessnock,1968.208
IARE,IARE104004,104004,Clarence Valley,10456.0902
IARE,IARE104005,104005,Coffs Harbour - Nambucca,4244.6096
IARE,IARE104006,104006,Gloucester - Dungog,5183.8659
IARE,IARE104007,104007,Gosford,941.2166
IARE,IARE104008,104008,Great Lakes,3337.361
IARE,IARE104009,104009,Kempsey,3868.3825
IARE,IARE104010,104010,Kyogle,3551.7672
IARE,IARE104012,104012,Lismore,1302.4913
IARE,IARE104013,104013,Maitland,388.5306
IARE,IARE104014,104014,Newcastle,188.7116
IARE,IARE104015,104015,Port Macquarie - Hastings,3687.7694
IARE,IARE104016,104016,Port Stephens,894.4919
IARE,IARE104017,104017,Richmond Valley,3060.6073
IARE,IARE104018,104018,Singleton,4348.5749
IARE,IARE104019,104019,Taree,3741.2006
IARE,IARE104020,104020,Tweed,1307.7853
IARE,IARE104022,104022,Lake Macquarie,592.9006
IARE,IARE104023,104023,Wyong,793.5169
IARE,IARE105001,105001,Albury,353.5473
IARE,IARE105002,105002,Balranald - Wentworth,49750.7498
IARE,IARE105003,105003,Bathurst,3809.6
IARE,IARE105004,105004,Blayney - Cabonne,6735.0681
IARE,IARE105005,105005,Carrathool - Murrumbidgee,20437.2627
IARE,IARE105006,105006,Central Murray,33818.6148
IARE,IARE105007,105007,Coolamon - Temora - West Wyalong,16807.2401
IARE,IARE105008,105008,Cootamundra,1656.1222
IARE,IARE105009,105009,Cowra,2897.876
IARE,IARE105010,105010,Deniliquin - Murray,4486.0315
IARE,IARE105011,105011,Forbes,4227.7726
IARE,IARE105012,105012,Griffith - Leeton,2761.3371
IARE,IARE105013,105013,Gundagai - Junee - Harden,6252.0815
IARE,IARE105014,105014,Lachlan,15858.8502
IARE,IARE105015,105015,Lithgow - Oberon,8257.3647
IARE,IARE105016,105016,Mudgee,10961.8425
IARE,IARE105017,105017,Narrandera,3809.1326
IARE,IARE105018,105018,Orange,284.2159
IARE,IARE105019,105019,Tumut,4654.0518
IARE,IARE105020,105020,Upper Murray,18640.9476
IARE,IARE105021,105021,Wagga Wagga,4884.5837
IARE,IARE105022,105022,Young,2643.8843
IARE,IARE106001,106001,Bega Valley,7942.0818
IARE,IARE106002,106002,Eurobodalla,1922.4058
IARE,IARE106003,106003,Shoalhaven,4374.9473
IARE,IARE106004,106004,Snowy - Monaro,20661.6093
IARE,IARE106005,106005,Southern Tablelands,19881.9373
IARE,IARE107001,107001,Auburn,32.4768
IARE,IARE107002,107002,Baulkham Hills,400.4136
IARE,IARE107003,107003,Blacktown,240.1335
IARE,IARE107004,107004,Blue Mountains,942.4079
IARE,IARE107005,107005,Botany Bay,16.6527
IARE,IARE107006,107006,Camden,206.0613
IARE,IARE107007,107007,Campbelltown,334.7054
IARE,IARE107008,107008,Canterbury - Bankstown,110.7042
IARE,IARE107009,107009,Fairfield,129.2872
IARE,IARE107010,107010,Hawkesbury,2658.9641
IARE,IARE107011,107011,Holroyd,41.221
IARE,IARE107012,107012,Hornsby - Ku-ring-gai,551.6707
IARE,IARE107013,107013,Hunters Hill - Ryde,46.1915
IARE,IARE107014,107014,Hurstville - Kogarah,38.3058
IARE,IARE107015,107015,Kiama - Shellharbour,390.7982
IARE,IARE107016,107016,Leichhardt,10.6577
IARE,IARE107017,107017,Liverpool,274.596
IARE,IARE107018,107018,Lord Howe Island,16.2918
IARE,IARE107019,107019,Marrickville,16.6539
IARE,IARE107020,107020,Northern Beaches,254.2072
IARE,IARE107021,107021,Parramatta,60.3762
IARE,IARE107022,107022,Penrith,415.6188
IARE,IARE107023,107023,Randwick - La Perouse,36.331
IARE,IARE107024,107024,Rockdale,33.9677
IARE,IARE107025,107025,Sutherland Shire,296.251
IARE,IARE107026,107026,Sydney - City,26.3616
IARE,IARE107027,107027,Sydney - Inner West,48.9007
IARE,IARE107028,107028,Sydney - Lower North,52.0459
IARE,IARE107029,107029,Wollondilly,3390.8841
IARE,IARE107030,107030,Wollongong,404.1
IARE,IARE107031,107031,Woollahra - Waverley,21.6295
IARE,IARE194994,194994,No usual address (NSW),0
IARE,IARE197997,197997,Migratory - Offshore - Shipping (NSW),0
IARE,IARE201001,201001,Brimbank,123.3991
IARE,IARE201002,201002,Cardinia,1283.289
IARE,IARE201003,201003,Craigieburn - Sunbury,459.4733
IARE,IARE201004,201004,Cranbourne - Narre Warren,409.4287
