ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
AUS,AUS,AUS,AUSTRALIA,7688094.938
STE,1,1,New South Wales,800797.6591
STE,2,2,Victoria,227496.2479
STE,3,3,Queensland,1730171.221
STE,4,4,South Australia,984231.4202
STE,5,5,Western Australia,2526632.483
STE,6,6,Tasmania,68017.5393
STE,7,7,Northern Territory,1348134.493
STE,8,8,Australian Capital Territory,2358.133
STE,9,9,Other Territories,255.742
SA4,101,101,Capital Region,51896.2444
SA4,102,102,Central Coast,1681.0088
SA4,103,103,Central West,70297.06
SA4,104,104,Coffs Harbour - Grafton,13229.7577
SA4,105,105,Far West and Orana,339355.6461
SA4,106,106,Hunter Valley exc Newcastle,21491.2917
SA4,107,107,Illawarra,1539.2405
SA4,108,108,Mid North Coast,18851.4986
SA4,109,109,Murray,97796.4898
SA4,110,110,New England and North West,99139.8999
SA4,111,111,Newcastle and Lake Macquarie,870.5821
SA4,112,112,Richmond - Tweed,10271.3201
SA4,113,113,Riverina,56984.9805
SA4,114,114,Southern Highlands and Shoalhaven,6704.9619
SA4,115,115,Sydney - Baulkham Hills and Hawkesbury,3251.4981
SA4,116,116,Sydney - Blacktown,240.8835
SA4,117,117,Sydney - City and Inner South,66.1035
SA4,118,118,Sydney - Eastern Suburbs,57.7342
SA4,119,119,Sydney - Inner South West,163.9272
SA4,120,120,Sydney - Inner West,64.5491
SA4,121,121,Sydney - North Sydney and Hornsby,275.0994
SA4,122,122,Sydney - Northern Beaches,254.2072
SA4,123,123,Sydney - Outer South West,1277.2421
SA4,124,124,Sydney - Outer West and Blue Mountains,3968.1294
SA4,125,125,Sydney - Parramatta,162.835
SA4,126,126,Sydney - Ryde,69.3368
SA4,127,127,Sydney - South West,540.279
SA4,128,128,Sydney - Sutherland,295.8525
SA4,197,197,Migratory - Offshore - Shipping (NSW),0
SA4,199,199,No usual address (NSW),0
SA4,201,201,Ballarat,10287.4757
SA4,202,202,Bendigo,11841.9058
SA4,203,203,Geelong,4428.699
SA4,204,204,Hume,34006.4765
SA4,205,205,Latrobe - Gippsland,41553.1093
SA4,206,206,Melbourne - Inner,142.4579
SA4,207,207,Melbourne - Inner East,146.7436
SA4,208,208,Melbourne - Inner South,161.4964
SA4,209,209,Melbourne - North East,1851.2647
SA4,210,210,Melbourne - North West,1619.6884
SA4,211,211,Melbourne - Outer East,1878.5577
SA4,212,212,Melbourne - South East,1922.2794
SA4,213,213,Melbourne - West,1416.3538
SA4,214,214,Mornington Peninsula,853.7662
SA4,215,215,North West,78072.9843
SA4,216,216,Shepparton,10933.8661
SA4,217,217,Warrnambool and South West,26379.1231
SA4,297,297,Migratory - Offshore - Shipping (Vic.),0
SA4,299,299,No usual address (Vic.),0
SA4,301,301,Brisbane - East,653.1329
SA4,302,302,Brisbane - North,186.9483
SA4,303,303,Brisbane - South,265.3445
SA4,304,304,Brisbane - West,269.6508
SA4,305,305,Brisbane Inner City,81.7393
SA4,306,306,Cairns,21337.9778
SA4,307,307,Darling Downs - Maranoa,166346.6638
SA4,308,308,Central Queensland,117588.0016
SA4,309,309,Gold Coast,1857.7774
SA4,310,310,Ipswich,6681.1781
SA4,311,311,Logan - Beaudesert,2586.163
SA4,312,312,Mackay - Isaac - Whitsunday,90140.1884
SA4,313,313,Moreton Bay - North,4344.4557
SA4,314,314,Moreton Bay - South,773.3947
SA4,315,315,Queensland - Outback,1183175.1279
SA4,316,316,Sunshine Coast,3085.911
SA4,317,317,Toowoomba,2258.7953
SA4,318,318,Townsville,80036.0978
SA4,319,319,Wide Bay,48502.6725
SA4,397,397,Migratory - Offshore - Shipping (Qld),0
SA4,399,399,No usual address (Qld),0
SA4,401,401,Adelaide - Central and Hills,1497.2718
SA4,402,402,Adelaide - North,939.9938
SA4,403,403,Adelaide - South,663.0817
SA4,404,404,Adelaide - West,159.5386
SA4,405,405,Barossa - Yorke - Mid North,37716.3849
SA4,406,406,South Australia - Outback,877772.5757
SA4,407,407,South Australia - South East,65482.5737
SA4,497,497,Migratory - Offshore - Shipping (SA),0
SA4,499,499,No usual address (SA),0
SA4,501,501,Bunbury,24802.4119
SA4,502,502,Mandurah,1032.8629
SA4,503,503,Perth - Inner,92.2541
SA4,504,504,Perth - North East,1762.4319
SA4,505,505,Perth - North West,884.0128
SA4,506,506,Perth - South East,2023.9919
SA4,507,507,Perth - South West,621.0185
SA4,509,509,Western Australia - Wheat Belt,197345.5326
SA4,510,510,Western Australia - Outback (North),926023.1631
SA4,511,511,Western Australia - Outback (South),1372044.8028
SA4,597,597,Migratory - Offshore - Shipping (WA),0
SA4,599,599,No usual address (WA),0
SA4,601,601,Hobart,1695.3611
SA4,602,602,Launceston and North East,19975.336
SA4,603,603,South East,23822.0525
SA4,604,604,West and North West,22524.7897
SA4,697,697,Migratory - Offshore - Shipping (Tas.),0
SA4,699,699,No usual address (Tas.),0
SA4,701,701,Darwin,3167.7034
SA4,702,702,Northern Territory - Outback,1344966.7897
SA4,797,797,Migratory - Offshore - Shipping (NT),0
SA4,799,799,No usual address (NT),0
SA4,801,801,Australian Capital Territory,2358.133
SA4,897,897,Migratory - Offshore - Shipping (ACT),0
SA4,899,899,No usual address (ACT),0
SA4,901,901,Other Territories,255.742
SA4,997,997,Migratory - Offshore - Shipping (OT),0
SA4,999,999,No usual address (OT),0
SA3,10102,10102,Queanbeyan,6511.3971
SA3,10103,10103,Snowy Mountains,14284.5857
SA3,10104,10104,South Coast,9864.4876
SA3,10105,10105,Goulburn - Mulwaree,9099.9087
SA3,10106,10106,Young - Yass,12135.8653
SA3,10201,10201,Gosford,988.3863
SA3,10202,10202,Wyong,692.6225
SA3,10301,10301,Bathurst,6984.1829
SA3,10302,10302,Lachlan Valley,41000.7206
SA3,10303,10303,Lithgow - Mudgee,16044.6243
SA3,10304,10304,Orange,6267.5322
SA3,10401,10401,Clarence Valley,9263.194
SA3,10402,10402,Coffs Harbour,3966.5637
SA3,10501,10501,Bourke - Cobar - Coonamble,162762.4085
SA3,10502,10502,Broken Hill and Far West,146854.847
SA3,10503,10503,Dubbo,29738.3906
SA3,10601,10601,Lower Hunter,8566.7812
SA3,10602,10602,Maitland,380.1169
SA3,10603,10603,Port Stephens,1071.9768
SA3,10604,10604,Upper Hunter,11472.4168
SA3,10701,10701,Dapto - Port Kembla,164.0176
SA3,10702,10702,Illawarra Catchment Reserve,744.3423
SA3,10703,10703,Kiama - Shellharbour,390.7982
SA3,10704,10704,Wollongong,240.0824
SA3,10801,10801,Great Lakes,3133.0446
SA3,10802,10802,Kempsey - Nambucca,5339.3246
SA3,10803,10803,Lord Howe Island,16.2918
SA3,10804,10804,Port Macquarie,3687.7694
SA3,10805,10805,Taree - Gloucester,6675.0682
SA3,10901,10901,Albury,5597.0037
SA3,10902,10902,Lower Murray,63967.8828
SA3,10903,10903,Upper Murray exc. Albury,28231.6033
SA3,11001,11001,Armidale,16395.6494
SA3,11002,11002,Inverell - Tenterfield,30566.4425
SA3,11003,11003,Moree - Narrabri,32022.7204
SA3,11004,11004,Tamworth - Gunnedah,20155.0876
SA3,11101,11101,Lake Macquarie - East,138.0853
SA3,11102,11102,Lake Macquarie - West,507.6329
SA3,11103,11103,Newcastle,224.8639
SA3,11201,11201,Richmond Valley - Coastal,1572.9178
SA3,11202,11202,Richmond Valley - Hinterland,7390.617
SA3,11203,11203,Tweed Valley,1307.7853
SA3,11301,11301,Griffith - Murrumbidgee (West),28859.6888
SA3,11302,11302,Tumut - Tumbarumba,9174.7261
SA3,11303,11303,Wagga Wagga,18950.5656
SA3,11401,11401,Shoalhaven,4374.9473
SA3,11402,11402,Southern Highlands,2330.0146
SA3,11501,11501,Baulkham Hills,72.0257
SA3,11502,11502,Dural - Wisemans Ferry,569.2386
SA3,11503,11503,Hawkesbury,2492.0101
SA3,11504,11504,Rouse Hill - McGraths Hill,118.2237
SA3,11601,11601,Blacktown,55.9289
SA3,11602,11602,Blacktown - North,103.0657
SA3,11603,11603,Mount Druitt,81.8889
SA3,11701,11701,Botany,28.3677
SA3,11702,11702,Marrickville - Sydenham - Petersham,12.67
SA3,11703,11703,Sydney Inner City,25.0658
SA3,11801,11801,Eastern Suburbs - North,26.1862
SA3,11802,11802,Eastern Suburbs - South,31.548
SA3,11901,11901,Bankstown,68.6675
SA3,11902,11902,Canterbury,29.9648
SA3,11903,11903,Hurstville,33.9469
SA3,11904,11904,Kogarah - Rockdale,31.348
SA3,12001,12001,Canada Bay,19.7477
SA3,12002,12002,Leichhardt,10.6577
SA3,12003,12003,Strathfield - Burwood - Ashfield,34.1437
SA3,12101,12101,Chatswood - Lane Cove,33.1733
SA3,12102,12102,Hornsby,137.3989
SA3,12103,12103,Ku-ring-gai,85.5463
SA3,12104,12104,North Sydney - Mosman,18.9809
SA3,12201,12201,Manly,14.3455
SA3,12202,12202,Pittwater,90.6494
SA3,12203,12203,Warringah,149.2123
SA3,12301,12301,Camden,73.8692
SA3,12302,12302,Campbelltown (NSW),333.0123
SA3,12303,12303,Wollondilly,870.3606
SA3,12401,12401,Blue Mountains,942.4079
SA3,12402,12402,Blue Mountains - South,2456.9093
SA3,12403,12403,Penrith,356.859
SA3,12404,12404,Richmond - Windsor,178.8386
SA3,12405,12405,St Marys,33.1146
