ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
AUS,AUS,AUS,AUSTRALIA,7688094.938
CED,CED101,101,Banks,49.4371
CED,CED102,102,Barton,39.547
CED,CED103,103,Bennelong,58.691
CED,CED104,104,Berowra,743.9867
CED,CED105,105,Blaxland,60.9795
CED,CED106,106,Bradfield,99.4745
CED,CED107,107,Calare,32648.0514
CED,CED108,108,Chifley,125.8036
CED,CED109,109,Cook,64.4127
CED,CED110,110,Cowper,7286.0543
CED,CED111,111,Cunningham,490.4266
CED,CED112,112,Dobell,715.1442
CED,CED113,113,Eden-Monaro,41714.6559
CED,CED114,114,Farrer,126562.8993
CED,CED115,115,Fowler,60.2618
CED,CED116,116,Gilmore,6254.6162
CED,CED117,117,Grayndler,27.6897
CED,CED118,118,Greenway,81.2585
CED,CED119,119,Hughes,358.8192
CED,CED120,120,Hume,17259.7988
CED,CED121,121,Hunter,10562.2591
CED,CED122,122,Kingsford Smith,58.5024
CED,CED123,123,Lindsay,330.5664
CED,CED124,124,Lyne,16041.8507
CED,CED125,125,Macarthur,361.5934
CED,CED126,126,Mackellar,212.5278
CED,CED127,127,Macquarie,4360.4273
CED,CED128,128,McMahon,172.8271
CED,CED129,129,Mitchell,99.6797
CED,CED130,130,New England,66293.6981
CED,CED131,131,Newcastle,156.3537
CED,CED132,132,North Sydney,41.5633
CED,CED133,133,Page,19319.892
CED,CED134,134,Parkes,393066.4821
CED,CED135,135,Parramatta,56.7463
CED,CED136,136,Paterson,1052.7896
CED,CED137,137,Reid,49.2349
CED,CED138,138,Richmond,2131.1404
CED,CED139,139,Riverina,48976.2538
CED,CED140,140,Robertson,893.9798
CED,CED141,141,Shortland,203.5551
CED,CED142,142,Sydney,40.6793
CED,CED143,143,Warringah,52.2575
CED,CED144,144,Watson,47.6314
CED,CED145,145,Wentworth,28.0548
CED,CED146,146,Werriwa,170.9302
CED,CED147,147,Whitlam,1314.1749
CED,CED194,194,No usual address (NSW),0
CED,CED197,197,Migratory - Offshore - Shipping (NSW),0
CED,CED201,201,Aston,113.9114
CED,CED202,202,Ballarat,5399.3279
CED,CED203,203,Bendigo,5281.3561
CED,CED204,204,Bruce,114.0706
CED,CED205,205,Calwell,222.3009
CED,CED206,206,Casey,2480.8197
CED,CED207,207,Chisholm,76.6618
CED,CED208,208,Cooper,59.2107
CED,CED209,209,Corangamite,1507.0578
CED,CED210,210,Corio,772.5066
CED,CED211,211,Deakin,84.5511
CED,CED212,212,Dunkley,152.8058
CED,CED213,213,Flinders,871.1895
CED,CED214,214,Fraser,88.3957
CED,CED215,215,Gellibrand,145.9642
CED,CED216,216,Gippsland,33135.976
CED,CED217,217,Goldstein,50.6625
CED,CED218,218,Gorton,222.6893
CED,CED219,219,Hawke,1835.4968
CED,CED220,220,Higgins,39.4802
CED,CED221,221,Holt,257.8691
CED,CED222,222,Hotham,77.5274
CED,CED223,223,Indi,29189.3342
CED,CED224,224,Isaacs,156.2691
CED,CED225,225,Jagajaga,125.9265
CED,CED226,226,Kooyong,58.4753
CED,CED227,227,La Trobe,1329.0917
CED,CED228,228,Lalor,463.6823
CED,CED229,229,Macnamara,40.1171
CED,CED230,230,Mallee,83412.6591
CED,CED231,231,Maribyrnong,97.1041
CED,CED232,232,McEwen,2678.3109
CED,CED233,233,Melbourne,40.2725
CED,CED234,234,Menzies,137.316
CED,CED235,235,Monash,8246.9042
CED,CED236,236,Nicholls,14773.7825
CED,CED237,237,Scullin,116.2899
CED,CED238,238,Wannon,33594.0575
CED,CED239,239,Wills,46.8239
CED,CED294,294,No usual address (Vic.),0
CED,CED297,297,Migratory - Offshore - Shipping (Vic.),0
CED,CED301,301,Blair,6467.756
CED,CED302,302,Bonner,373.7494
CED,CED303,303,Bowman,537.1672
CED,CED304,304,Brisbane,55.0353
CED,CED305,305,Capricornia,90239.2708
CED,CED306,306,Dawson,15500.0501
CED,CED307,307,Dickson,724.3048
CED,CED308,308,Fadden,388.5349
CED,CED309,309,Fairfax,1003.9847
CED,CED310,310,Fisher,1199.293
CED,CED311,311,Flynn,132852.1218
CED,CED312,312,Forde,416.9742
CED,CED313,313,Griffith,54.1984
CED,CED314,314,Groom,5570.5887
CED,CED315,315,Herbert,1020.2595
CED,CED316,316,Hinkler,3816.4157
CED,CED317,317,Kennedy,566332.2394
CED,CED318,318,Leichhardt,149228.4618
CED,CED319,319,Lilley,140.5754
CED,CED320,320,Longman,1245.5602
CED,CED321,321,Maranoa,729961.6808
CED,CED322,322,McPherson,231.0089
CED,CED323,323,Moncrieff,100.3511
CED,CED324,324,Moreton,108.7014
CED,CED325,325,Oxley,156.9771
CED,CED326,326,Petrie,149.9755
CED,CED327,327,Rankin,131.0405
CED,CED328,328,Ryan,367.836
CED,CED329,329,Wide Bay,14216.512
CED,CED330,330,Wright,7580.5962
CED,CED394,394,No usual address (Qld),0
CED,CED397,397,Migratory - Offshore - Shipping (Qld),0
CED,CED401,401,Adelaide,86.4597
CED,CED402,402,Barker,62242.5938
CED,CED403,403,Boothby,115.8516
CED,CED404,404,Grey,911570.4245
CED,CED405,405,Hindmarsh,122.4967
CED,CED406,406,Kingston,164.3511
CED,CED407,407,Makin,162.6622
CED,CED408,408,Mayo,9135.788
CED,CED409,409,Spence,533.1794
CED,CED410,410,Sturt,97.6132
CED,CED494,494,No usual address (SA),0
CED,CED497,497,Migratory - Offshore - Shipping (SA),0
CED,CED501,501,Brand,377.703
CED,CED502,502,Burt,190.0523
CED,CED503,503,Canning,4248.5207
CED,CED504,504,Cowan,95.0457
CED,CED505,505,Curtin,97.948
CED,CED506,506,Durack,1383928.2424
CED,CED507,507,Forrest,8013.0052
CED,CED508,508,Fremantle,194.5588
CED,CED509,509,Hasluck,1317.9683
CED,CED510,510,Moore,101.9704
CED,CED511,511,O'Connor,1126947.2626
CED,CED512,512,Pearce,787.62
CED,CED513,513,Perth,79.8666
CED,CED514,514,Swan,150.8416
CED,CED515,515,Tangney,101.8769
CED,CED594,594,No usual address (WA),0
CED,CED597,597,Migratory - Offshore - Shipping (WA),0
CED,CED601,601,Bass,7985.4067
CED,CED602,602,Braddon,21368.6009
CED,CED603,603,Clark,292.8821
CED,CED604,604,Franklin,6404.9117
CED,CED605,605,Lyons,31965.7379
CED,CED694,694,No usual address (Tas.),0
CED,CED697,697,Migratory - Offshore - Shipping (Tas.),0
CED,CED701,701,Lingiari,1348089.9937
CED,CED702,702,Solomon,194.3608
CED,CED794,794,No usual address (NT),0
CED,CED797,797,Migratory - Offshore - Shipping (NT),0
CED,CED801,801,Bean,1914.0064
CED,CED802,802,Canberra,311.9225
CED,CED803,803,Fenner,238.0847
CED,CED894,894,No usual address (ACT),0
CED,CED897,897,Migratory - Offshore - Shipping (ACT),0
CED,CED994,994,No usual address (OT),0
CED,CED997,997,Migratory - Offshore - Shipping (OT),0
SED,SED10001,10001,Albury,19684.1233
SED,SED10002,10002,Auburn,38.4245
SED,SED10003,10003,Ballina,1050.7719
SED,SED10004,10004,Balmain,13.2658
