ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
AUS,AUS,AUS,AUSTRALIA,7688094.938
RA,RA10,10,Major Cities of Australia,5521.9056
RA,RA11,11,Inner Regional Australia,93342.3571
RA,RA12,12,Outer Regional Australia,291314.6887
RA,RA13,13,Remote Australia,219865.5978
RA,RA14,14,Very Remote Australia,190753.1099
RA,RA15,15,Migratory - Offshore - Shipping (NSW),0
RA,RA19,19,No usual address (NSW),0
RA,RA20,20,Major Cities of Australia,5055.2214
RA,RA21,21,Inner Regional Australia,74228.4321
RA,RA22,22,Outer Regional Australia,128080.1336
RA,RA23,23,Remote Australia,20132.4608
RA,RA25,25,Migratory - Offshore - Shipping (Vic.),0
RA,RA29,29,No usual address (Vic.),0
RA,RA30,30,Major Cities of Australia,4854.0819
RA,RA31,31,Inner Regional Australia,46086.4927
RA,RA32,32,Outer Regional Australia,157390.7378
RA,RA33,33,Remote Australia,265322.3642
RA,RA34,34,Very Remote Australia,1256517.5442
RA,RA35,35,Migratory - Offshore - Shipping (Qld),0
RA,RA39,39,No usual address (Qld),0
RA,RA40,40,Major Cities of Australia,1533.5446
RA,RA41,41,Inner Regional Australia,15567.8145
RA,RA42,42,Outer Regional Australia,81381.0791
RA,RA43,43,Remote Australia,122334.7565
RA,RA44,44,Very Remote Australia,763414.2255
RA,RA45,45,Migratory - Offshore - Shipping (SA),0
RA,RA49,49,No usual address (SA),0
RA,RA50,50,Major Cities of Australia,2861.008
RA,RA51,51,Inner Regional Australia,22501.7828
RA,RA52,52,Outer Regional Australia,89656.3165
RA,RA53,53,Remote Australia,167348.9479
RA,RA54,54,Very Remote Australia,2244264.4273
RA,RA55,55,Migratory - Offshore - Shipping (WA),0
RA,RA59,59,No usual address (WA),0
RA,RA61,61,Inner Regional Australia,2283.0965
RA,RA62,62,Outer Regional Australia,37283.2022
RA,RA63,63,Remote Australia,25358.8755
RA,RA64,64,Very Remote Australia,3092.3651
RA,RA65,65,Migratory - Offshore - Shipping (Tas.),0
RA,RA69,69,No usual address (Tas.),0
RA,RA72,72,Outer Regional Australia,3167.7034
RA,RA73,73,Remote Australia,95379.9038
RA,RA74,74,Very Remote Australia,1249586.8859
RA,RA75,75,Migratory - Offshore - Shipping (NT),0
RA,RA79,79,No usual address (NT),0
RA,RA80,80,Major Cities of Australia,586.062
RA,RA81,81,Inner Regional Australia,1772.071
RA,RA85,85,Migratory - Offshore - Shipping (ACT),0
RA,RA89,89,No usual address (ACT),0
RA,RA91,91,Inner Regional Australia,67.2296
RA,RA94,94,Very Remote Australia,188.5124
RA,RA95,95,Migratory - Offshore - Shipping (OT),0
RA,RA99,99,No usual address (OT),0
