ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
AUS,AUS,AUS,AUSTRALIA,7688094.938
STE,1,1,New South Wales,800797.6591
STE,2,2,Victoria,227496.2479
STE,3,3,Queensland,1730171.221
STE,4,4,South Australia,984231.4202
STE,5,5,Western Australia,2526632.483
STE,6,6,Tasmania,68017.5393
STE,7,7,Northern Territory,1348134.493
STE,8,8,Australian Capital Territory,2358.133
STE,9,9,Other Territories,255.742
SOS,SOS10,10,Major Urban,3145.0177
SOS,SOS11,11,Other Urban,2946.8019
SOS,SOS12,12,Bounded Locality,805.5689
SOS,SOS13,13,Rural Balance,793900.2706
SOS,SOS17,17,Migratory - Offshore - Shipping (NSW),0
SOS,SOS19,19,No usual address (NSW),0
SOS,SOS20,20,Major Urban,3340.7797
SOS,SOS21,21,Other Urban,1720.4295
SOS,SOS22,22,Bounded Locality,521.8569
SOS,SOS23,23,Rural Balance,221913.1818
SOS,SOS27,27,Migratory - Offshore - Shipping (Vic.),0
SOS,SOS29,29,No usual address (Vic.),0
SOS,SOS30,30,Major Urban,3532.8038
SOS,SOS31,31,Other Urban,2478.7038
SOS,SOS32,32,Bounded Locality,1557.5761
SOS,SOS33,33,Rural Balance,1722602.1371
SOS,SOS37,37,Migratory - Offshore - Shipping (Qld),0
SOS,SOS39,39,No usual address (Qld),0
SOS,SOS40,40,Major Urban,854.2792
SOS,SOS41,41,Other Urban,789.8501
SOS,SOS42,42,Bounded Locality,422.4025
SOS,SOS43,43,Rural Balance,982164.8884
SOS,SOS47,47,Migratory - Offshore - Shipping (SA),0
SOS,SOS49,49,No usual address (SA),0
SOS,SOS50,50,Major Urban,1720.3492
SOS,SOS51,51,Other Urban,1122.6474
SOS,SOS52,52,Bounded Locality,786.8451
SOS,SOS53,53,Rural Balance,2523002.6408
SOS,SOS57,57,Migratory - Offshore - Shipping (WA),0
SOS,SOS59,59,No usual address (WA),0
SOS,SOS60,60,Major Urban,237.263
SOS,SOS61,61,Other Urban,348.468
SOS,SOS62,62,Bounded Locality,179.9335
SOS,SOS63,63,Rural Balance,67251.8748
SOS,SOS67,67,Migratory - Offshore - Shipping (Tas.),0
SOS,SOS69,69,No usual address (Tas.),0
SOS,SOS70,70,Major Urban,240.3244
SOS,SOS71,71,Other Urban,218.1478
SOS,SOS72,72,Bounded Locality,1859.7416
SOS,SOS73,73,Rural Balance,1345816.2793
SOS,SOS77,77,Migratory - Offshore - Shipping (NT),0
SOS,SOS79,79,No usual address (NT),0
SOS,SOS80,80,Major Urban,392.9671
SOS,SOS82,82,Bounded Locality,2.6572
SOS,SOS83,83,Rural Balance,1962.5087
SOS,SOS87,87,Migratory - Offshore - Shipping (ACT),0
SOS,SOS89,89,No usual address (ACT),0
SOS,SOS91,91,Other Urban,7.8663
SOS,SOS92,92,Bounded Locality,33.2858
SOS,SOS93,93,Rural Balance,214.5899
SOS,SOS97,97,Migratory - Offshore - Shipping (OT),0
SOS,SOS99,99,No usual address (OT),0
SOSR,SOSR101,101,1 million or more,2194.1731
SOSR,SOSR102,102,"250,000 to 999,999",950.8446
SOSR,SOSR111,111,"50,000 to 99,999",275.7785
SOSR,SOSR112,112,"20,000 to 49,999",855.9826
SOSR,SOSR113,113,"10,000 to 19,999",397.1267
SOSR,SOSR114,114,"5,000 to 9,999",537.8312
SOSR,SOSR115,115,"4,999 or less",880.0829
SOSR,SOSR121,121,500 or more,453.8135
SOSR,SOSR122,122,499 or less,351.7554
SOSR,SOSR131,131,Remainder of State/Territory,793900.2706
SOSR,SOSR179,179,Migratory - Offshore - Shipping (NSW),0
SOSR,SOSR199,199,No usual address (NSW),0
SOSR,SOSR201,201,1 million or more,2880.5725
SOSR,SOSR203,203,"100,000 to 249,999",460.2072
SOSR,SOSR211,211,"50,000 to 99,999",111.2942
SOSR,SOSR212,212,"20,000 to 49,999",319.8562
SOSR,SOSR213,213,"10,000 to 19,999",438.9394
SOSR,SOSR214,214,"5,000 to 9,999",297.5692
SOSR,SOSR215,215,"4,999 or less",552.7705
SOSR,SOSR221,221,500 or more,289.6001
SOSR,SOSR222,222,499 or less,232.2568
SOSR,SOSR231,231,Remainder of State/Territory,221913.1818
SOSR,SOSR279,279,Migratory - Offshore - Shipping (Vic.),0
SOSR,SOSR299,299,No usual address (Vic.),0
SOSR,SOSR301,301,1 million or more,2026.9222
SOSR,SOSR302,302,"250,000 to 999,999",921.4333
SOSR,SOSR303,303,"100,000 to 249,999",584.4483
SOSR,SOSR311,311,"50,000 to 99,999",429.2679
SOSR,SOSR312,312,"20,000 to 49,999",188.2728
SOSR,SOSR313,313,"10,000 to 19,999",442.6829
SOSR,SOSR314,314,"5,000 to 9,999",499.2957
SOSR,SOSR315,315,"4,999 or less",919.1845
SOSR,SOSR321,321,500 or more,1010.3247
SOSR,SOSR322,322,499 or less,547.2514
SOSR,SOSR331,331,Remainder of State/Territory,1722602.1371
SOSR,SOSR379,379,Migratory - Offshore - Shipping (Qld),0
SOSR,SOSR399,399,No usual address (Qld),0
SOSR,SOSR401,401,1 million or more,854.2792
SOSR,SOSR412,412,"20,000 to 49,999",141.1298
SOSR,SOSR413,413,"10,000 to 19,999",216.0498
SOSR,SOSR414,414,"5,000 to 9,999",68.592
SOSR,SOSR415,415,"4,999 or less",364.0785
SOSR,SOSR421,421,500 or more,161.7336
SOSR,SOSR422,422,499 or less,260.6689
SOSR,SOSR431,431,Remainder of State/Territory,982164.8884
SOSR,SOSR479,479,Migratory - Offshore - Shipping (SA),0
SOSR,SOSR499,499,No usual address (SA),0
SOSR,SOSR501,501,1 million or more,1720.3492
SOSR,SOSR511,511,"50,000 to 99,999",117.4
SOSR,SOSR512,512,"20,000 to 49,999",265.51
SOSR,SOSR513,513,"10,000 to 19,999",321.5695
SOSR,SOSR514,514,"5,000 to 9,999",73.87
SOSR,SOSR515,515,"4,999 or less",344.2979
SOSR,SOSR521,521,500 or more,416.6701
SOSR,SOSR522,522,499 or less,370.175
SOSR,SOSR531,531,Remainder of State/Territory,2523002.6408
SOSR,SOSR579,579,Migratory - Offshore - Shipping (WA),0
SOSR,SOSR599,599,No usual address (WA),0
SOSR,SOSR603,603,"100,000 to 249,999",237.263
SOSR,SOSR611,611,"50,000 to 99,999",95.1084
SOSR,SOSR612,612,"20,000 to 49,999",63.4774
SOSR,SOSR613,613,"10,000 to 19,999",17.0585
SOSR,SOSR614,614,"5,000 to 9,999",37.4003
SOSR,SOSR615,615,"4,999 or less",135.4234
SOSR,SOSR621,621,500 or more,99.9987
SOSR,SOSR622,622,499 or less,79.9348
SOSR,SOSR631,631,Remainder of State/Territory,67251.8748
SOSR,SOSR679,679,Migratory - Offshore - Shipping (Tas.),0
SOSR,SOSR699,699,No usual address (Tas.),0
SOSR,SOSR703,703,"100,000 to 249,999",240.3244
SOSR,SOSR712,712,"20,000 to 49,999",85.5555
SOSR,SOSR714,714,"5,000 to 9,999",17.2758
SOSR,SOSR715,715,"4,999 or less",115.3165
SOSR,SOSR721,721,500 or more,297.3215
SOSR,SOSR722,722,499 or less,1562.4201
SOSR,SOSR731,731,Remainder of State/Territory,1345816.2793
SOSR,SOSR779,779,Migratory - Offshore - Shipping (NT),0
SOSR,SOSR799,799,No usual address (NT),0
SOSR,SOSR802,802,"250,000 to 999,999",392.9671
SOSR,SOSR822,822,499 or less,2.6572
SOSR,SOSR831,831,Remainder of State/Territory,1962.5087
SOSR,SOSR879,879,Migratory - Offshore - Shipping (ACT),0
SOSR,SOSR899,899,No usual address (ACT),0
SOSR,SOSR915,915,"4,999 or less",7.8663
SOSR,SOSR921,921,500 or more,20.7209
SOSR,SOSR922,922,499 or less,12.5649
SOSR,SOSR931,931,Remainder of State/Territory,214.5899
SOSR,SOSR979,979,Migratory - Offshore - Shipping (OT),0
SOSR,SOSR999,999,No usual address (OT),0
UCL,UCL101001,101001,Sydney,2194.1731
UCL,UCL102001,102001,Canberra - Queanbeyan (Queanbeyan Part),28.7867
UCL,UCL102002,102002,Central Coast,332.9065
UCL,UCL102003,102003,Gold Coast - Tweed Heads (Tweed Heads Part),67.678
UCL,UCL102004,102004,Newcastle,296.9898
UCL,UCL102005,102005,Wollongong,224.4836
UCL,UCL111001,111001,Albury - Wodonga (Albury Part),74.9112
UCL,UCL111002,111002,Coffs Harbour,77.9672
UCL,UCL111003,111003,Maitland (NSW),122.9001
UCL,UCL112001,112001,Armidale,30.2163
UCL,UCL112002,112002,Bathurst,54.5543
UCL,UCL112003,112003,Blue Mountains,79.1763
UCL,UCL112004,112004,Bowral - Mittagong,55.9023
UCL,UCL112005,112005,Cessnock,21.7753
UCL,UCL112006,112006,Dubbo,85.7616
UCL,UCL112007,112007,Echuca - Moama (Moama Part),28.019
UCL,UCL112008,112008,Forster - Tuncurry,32.6648
UCL,UCL112009,112009,Goulburn,55.5759
UCL,UCL112010,112010,Griffith,47.93
UCL,UCL112011,112011,Kurri Kurri,26.1116
UCL,UCL112012,112012,Lismore (NSW),40.251
UCL,UCL112013,112013,Mildura - Buronga (Buronga Part),5.8912
UCL,UCL112014,112014,Morisset - Cooranbong,43.7484
UCL,UCL112015,112015,Nowra - Bomaderry,37.9355
UCL,UCL112016,112016,Orange,56.8283
UCL,UCL112017,112017,Port Macquarie,43.8921
