ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
AUS,AUS,AUS,AUSTRALIA,7688094.938
SUA,1000,1000,Not in any Significant Urban Area (NSW),786334.6808
SUA,1001,1001,Albury - Wodonga,628.2525
SUA,1002,1002,Armidale,274.5996
SUA,1003,1003,Ballina,480.5548
SUA,1004,1004,Batemans Bay,94.3021
SUA,1005,1005,Bathurst,213.5388
SUA,1006,1006,Bowral - Mittagong,421.8192
SUA,1007,1007,Broken Hill,170.1153
SUA,1008,1008,Byron Bay,39.7771
SUA,1009,1009,Camden Haven,524.9062
SUA,1010,1010,Central Coast,1334.2426
SUA,1011,1011,Coffs Harbour,505.5228
SUA,1012,1012,Dubbo,182.5608
SUA,1013,1013,Forster - Tuncurry,49.5428
SUA,1014,1014,Goulburn,64.7865
SUA,1015,1015,Grafton,106.2537
SUA,1016,1016,Griffith,56.3332
SUA,1017,1017,Kempsey,195.1561
SUA,1018,1018,Lismore,88.5366
SUA,1019,1019,Lithgow,119.9844
SUA,1020,1020,Medowie,365.182
SUA,1021,1021,Morisset - Cooranbong,340.68
SUA,1022,1022,Mudgee,65.8949
SUA,1023,1023,Muswellbrook,262.3964
SUA,1024,1024,Nelson Bay,115.5262
SUA,1025,1025,Newcastle - Maitland,1179.1011
SUA,1026,1026,Nowra - Bomaderry,201.4117
SUA,1027,1027,Orange,144.7618
SUA,1028,1028,Port Macquarie,96.2548
SUA,1029,1029,Singleton,127.2317
SUA,1030,1030,St Georges Basin - Sanctuary Point,107.8711
SUA,1031,1031,Sydney,4196.8372
SUA,1032,1032,Tamworth,240.7449
SUA,1033,1033,Taree,186.6495
SUA,1034,1034,Ulladulla,46.7765
SUA,1035,1035,Wagga Wagga,192.0954
SUA,1036,1036,Wollongong,572.6371
SUA,2000,2000,Not in any Significant Urban Area (Vic.),214524.8145
SUA,2001,2001,Bacchus Marsh,196.2983
SUA,2002,2002,Bairnsdale,155.0115
SUA,2003,2003,Ballarat,343.6213
SUA,2004,2004,Bendigo,287.4437
SUA,2005,2005,Castlemaine,83.9291
SUA,2006,2006,Colac,54.7344
SUA,2007,2007,Echuca - Moama,350.96
SUA,2008,2008,Geelong,1329.0133
SUA,2009,2009,Gisborne,367.3975
SUA,2010,2010,Horsham,83.0691
SUA,2011,2011,Melbourne,7100.1467
SUA,2012,2012,Mildura - Buronga,588.8581
SUA,2013,2013,Moe - Newborough,447.9855
SUA,2014,2014,Portland,63.985
SUA,2015,2015,Sale,45.6023
SUA,2016,2016,Shepparton - Mooroopna,248.9055
SUA,2017,2017,Swan Hill,126.5903
SUA,2018,2018,Traralgon - Morwell,235.1589
SUA,2019,2019,Wangaratta,57.5836
SUA,2020,2020,Warragul - Drouin,678.9851
SUA,2021,2021,Warrnambool,182.6156
SUA,3000,3000,Not in any Significant Urban Area (Qld),1716660.6473
SUA,3001,3001,Airlie Beach - Cannonvale,304.0917
SUA,3002,3002,Brisbane,6462.4053
SUA,3003,3003,Bundaberg,305.2318
SUA,3004,3004,Cairns,254.0618
SUA,3005,3005,Emerald,38.982
SUA,3006,3006,Gladstone,246.0825
SUA,3007,3007,Gold Coast - Tweed Heads,1251.2748
SUA,3008,3008,Gympie,69.4615
SUA,3009,3009,Hervey Bay,93.2156
SUA,3010,3010,Kingaroy,70.1948
SUA,3011,3011,Mackay,212.4281
SUA,3012,3012,Maryborough,170.6247
SUA,3013,3013,Mount Isa,68.6964
SUA,3014,3014,Rockhampton,579.6439
SUA,3015,3015,Sunshine Coast,2100.2723
SUA,3016,3016,Toowoomba,728.5991
SUA,3017,3017,Townsville,693.2853
SUA,3018,3018,Warwick,158.7231
SUA,3019,3019,Yeppoon,78.5558
SUA,4000,4000,Not in any Significant Urban Area (SA),980878.8478
SUA,4001,4001,Adelaide,2246.2567
SUA,4002,4002,Mount Gambier,193.2878
SUA,4003,4003,Murray Bridge,97.5456
SUA,4004,4004,Port Augusta,253.9025
SUA,4005,4005,Port Lincoln,136.2831
SUA,4006,4006,Port Pirie,75.2928
SUA,4007,4007,Victor Harbor - Goolwa,309.1333
SUA,4008,4008,Whyalla,40.8706
SUA,5000,5000,Not in any Significant Urban Area (WA),2519666.1473
SUA,5001,5001,Albany,299.3989
SUA,5002,5002,Broome,50.0425
SUA,5003,5003,Bunbury,222.7003
SUA,5004,5004,Busselton,1423.304
SUA,5005,5005,Esperance,479.8669
SUA,5006,5006,Geraldton,272.1604
SUA,5007,5007,Kalgoorlie - Boulder,75.0977
SUA,5008,5008,Karratha,134.2041
SUA,5009,5009,Perth,3893.1281
SUA,5010,5010,Port Hedland,116.4323
SUA,6000,6000,Not in any Significant Urban Area (Tas.),65881.8887
SUA,6001,6001,Burnie - Somerset,130.5134
SUA,6002,6002,Devonport,290.5023
SUA,6003,6003,Hobart,1149.2735
SUA,6004,6004,Launceston,435.4107
SUA,6005,6005,Ulverstone,129.9507
SUA,7000,7000,Not in any Significant Urban Area (NT),1347428.7408
SUA,7001,7001,Alice Springs,327.7132
SUA,7002,7002,Darwin,378.0391
SUA,8000,8000,Not in any Significant Urban Area (ACT),1879.4621
SUA,8001,8001,Canberra - Queanbeyan,517.0934
SUA,9000,9000,Not in any Significant Urban Area (OT),255.742
