,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2021 Census of Population and Housing,,,,,,,,
General Community Profile DataPack Metadata,,,,,,,,
,,,,,,,,
,,Celldescriptors,,,,,,
Sequential,Short,Long,DataPackfile,Profiletable,Columnheadingdescriptioninprofile,,,
G1,Tot_P_M,Total_Persons_Males,G01,G01,Males,,,
G2,Tot_P_F,Total_Persons_Females,G01,G01,Females,,,
G3,Tot_P_P,Total_Persons_Persons,G01,G01,Persons,,,
G4,Age_0_4_yr_M,Age_groups_0_4_years_Males,G01,G01,Males,,,
G5,Age_0_4_yr_F,Age_groups_0_4_years_Females,G01,G01,Females,,,
G6,Age_0_4_yr_P,Age_groups_0_4_years_Persons,G01,G01,Persons,,,
G7,Age_5_14_yr_M,Age_groups_5_14_years_Males,G01,G01,Males,,,
G8,Age_5_14_yr_F,Age_groups_5_14_years_Females,G01,G01,Females,,,
G9,Age_5_14_yr_P,Age_groups_5_14_years_Persons,G01,G01,Persons,,,
G10,Age_15_19_yr_M,Age_groups_15_19_years_Males,G01,G01,Males,,,
G11,Age_15_19_yr_F,Age_groups_15_19_years_Females,G01,G01,Females,,,
G12,Age_15_19_yr_P,Age_groups_15_19_years_Persons,G01,G01,Persons,,,
G13,Age_20_24_yr_M,Age_groups_20_24_years_Males,G01,G01,Males,,,
G14,Age_20_24_yr_F,Age_groups_20_24_years_Females,G01,G01,Females,,,
G15,Age_20_24_yr_P,Age_groups_20_24_years_Persons,G01,G01,Persons,,,
G16,Age_25_34_yr_M,Age_groups_25_34_years_Males,G01,G01,Males,,,
G17,Age_25_34_yr_F,Age_groups_25_34_years_Females,G01,G01,Females,,,
G18,Age_25_34_yr_P,Age_groups_25_34_years_Persons,G01,G01,Persons,,,
G19,Age_35_44_yr_M,Age_groups_35_44_years_Males,G01,G01,Males,,,
G20,Age_35_44_yr_F,Age_groups_35_44_years_Females,G01,G01,Females,,,
G21,Age_35_44_yr_P,Age_groups_35_44_years_Persons,G01,G01,Persons,,,
G22,Age_45_54_yr_M,Age_groups_45_54_years_Males,G01,G01,Males,,,
G23,Age_45_54_yr_F,Age_groups_45_54_years_Females,G01,G01,Females,,,
G24,Age_45_54_yr_P,Age_groups_45_54_years_Persons,G01,G01,Persons,,,
G25,Age_55_64_yr_M,Age_groups_55_64_years_Males,G01,G01,Males,,,
