,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2021 Census of Population and Housing,,,,,,,
General Community Profile Tables,,,,,,,
Table Number,Table Name,Table population ,,,,,
G01,Selected Person Characteristics by Sex,Persons,,,,,
G02,Selected Medians and Averages,,,,,,
G03,Place of Usual Residence by Place of Enumeration on Census Night by Age,Persons (excludes overseas visitors),,,,,
G04,Age by Sex,Persons,,,,,
G05,Registered Marital Status by Age by Sex,Persons aged 15 years and over ,,,,,
G06,Social Marital Status by Age by Sex,Persons aged 15 years and over ,,,,,
G07,Indigenous Status by Age by Sex ,Persons,,,,,
G08,Ancestry by Country of Birth of Parents,Responses and persons ,,,,,
G09,Country of Birth of Person by Age by Sex,Persons,,,,,
G10,Country of Birth of Person by Year of Arrival in Australia,Persons born overseas,,,,,
G11,Proficiency in Spoken English by Year of Arrival in Australia by Age,Persons born overseas,,,,,
G12,Proficiency in Spoken English of Parents by Age of Dependent Children,Dependent children in couple families,,,,,
G13,Language Used at Home by Proficiency in Spoken English by Sex,Persons,,,,,
G14,Religious Affiliation by Sex,Persons,,,,,
G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex,Persons attending an educational institution ,,,,,
G16,Highest Year of School Completed by Age by Sex,Persons aged 15 years and over who are no longer attending primary or secondary school.,,,,,
G17,Total Personal Income (Weekly) by Age by Sex,Persons aged 15 years and over ,,,,,
G18,Core Activity Need for Assistance by Age by Sex,Persons ,,,,,
G19,Type of Long-Term Health Condition by Age by Sex,Persons,,,,,
G20,Count of Selected Long-Term Health Conditions by Age by Sex,Persons,,,,,
G21,Type of Long-Term Health Condition by Selected Person Characteristics,Persons,,,,,
G22,Australian Defence Force Service by Age by Sex,Persons aged 15 years and over,,,,,
G23,Voluntary Work for an Organisation or Group by Age by Sex ,Persons aged 15 years and over ,,,,,
G24,Unpaid Domestic Work:  Number of Hours by Age by Sex ,Persons aged 15 years and over ,,,,,
G25,Unpaid Assistance to a Person with a Disability Health Condition or Due to Old Age by Age by Sex,Persons aged 15 years and over ,,,,,
G26,Unpaid Child Care by Age by Sex,Persons aged 15 years and over ,,,,,
G27,Relationship in Household by Age by Sex,Persons in occupied private dwellings,,,,,
G28,Number of Children Ever Born ,Females aged 15 years and over,,,,,
G29,Family Composition,Families and persons in families in occupied private dwellings,,,,,
G30,Family Composition and Country of Birth of Parents by Age of Dependent Children,Dependent children ,,,,,
G31,Family Blending,Couple families with children,,,,,
G32,Total Family Income (Weekly) by Family Composition,Families in family households,,,,,
G33,Total Household Income (Weekly) by Household Composition,Occupied private dwellings,,,,,
G34,Number of Motor Vehicles by Dwellings,Occupied private dwellings,,,,,
G35,Household Composition by Number of Persons Usually Resident,Occupied private dwellings,,,,,
G36,Dwelling Structure,Private dwellings and persons in occupied private dwellings,,,,,
G37,Tenure and Landlord Type by Dwelling Structure,Occupied private dwellings,,,,,
G38,Mortgage Repayment (Monthly) by Dwelling Structure,Occupied private dwellings being purchased,,,,,
G39,Mortgage Repayment (Monthly) by Family Composition,Families in occupied private dwellings being purchased,,,,,
G40,Rent (Weekly) by Landlord Type,Occupied private dwellings being rented,,,,,
G41,Dwelling Structure by Number of Bedrooms,Occupied private dwellings,,,,,
G42,Dwelling Structure by Household Composition and Family Composition,Occupied private dwellings,,,,,
G43,Selected Labour Force Education and Migration Characteristics by Sex,Persons  ,,,,,
G44,Place of Usual Residence 1 Year Ago by Sex,Persons aged 1 year and over,,,,,
G45,Place of Usual Residence 5 Years Ago by Sex,Persons aged 5 years and over,,,,,
G46,Labour Force Status by Age by Sex,Persons aged 15 years and over  ,,,,,
G47,Labour Force Status by Sex of Parents by Age of Dependent Children for Couple Families,Dependent children in couple families,,,,,
G48,Labour Force Status by Sex of Parent by Age of Dependent Children for One Parent Families,Dependent children in one parent families,,,,,
G49,Highest Non-School Qualification:  Level of Education by Age by Sex,Persons aged 15 years and over with a non-school qualification ,,,,,
G50,Highest Non-School Qualification: Field of Study by Age by Sex,Persons aged 15 years and over with a non-school qualification ,,,,,
G51,Highest Non-School Qualification: Field of Study by Occupation by Sex,Employed persons aged 15 years and over with a non-school qualification ,,,,,
G52,Highest Non-School Qualification: Level of Education by Occupation by Sex,Employed persons aged 15 years and over with a non-school qualification ,,,,,
G53,Highest Non-School Qualification: Level of Education by Industry of Employment by Sex,Employed persons aged 15 years and over with a non-school qualification ,,,,,
G54,Industry of Employment by Age by Sex,Employed persons aged 15 years and over,,,,,
G55,Industry of Employment by Hours Worked by Sex,Employed persons aged 15 years and over,,,,,
G56,Industry of Emplyment by Occupation ,Employed persons aged 15 years and over ,,,,,
G57,Total Family Income (Weekly) by Labour Force Status of Partners for Couple Families with No Children,Couple families with no children,,,,,
G58,Total Family Income (Weekly) by Labour Force Status of Parents/Partners for Couple Families with Children,Couple families with no children,,,,,
G59,Total Family Income (Weekly) by Labour Force Status of Parent for One Parent Families,One parent families,,,,,
G60,Occupation by age by Sex,Employed persons aged 15 years and over,,,,,
G61,Occupation by Hours Worked by Sex,Employed persons aged 15 years and over,,,,,
G62,Method of Travel to Work by Sex,Employed persons aged 15 years and over,,,,,
